date,added ticker,added security,removed ticker,removed security,reason
2019-06-03,CTVA,Corteva,FLR,Fluor Corporation,CTVA spun off from DWDP (which then changed symbol to DD)[23]
2019-04-02,DOW,Dow Inc.,BHF,Brighthouse Financial,DOW spun off from DWDP[24]
2019-02-27,WAB,Wabtec Corporation,GT,The Goodyear Tire & Rubber Company,WAB acquired GE transportation business[25]
2019-02-15,ATO,Atmos Energy Corp,NFX,Newfield Exploration,ECA acquired NFX[26]
2019-01-18,TFX,Teleflex,PCG,PG&E Corp,PCG filed for bankruptcy[27]
2019-01-02,FRC,First Republic Bank,SCG,SCANA,Dominion Energy acquired SCANA Corporation[28]
2018-12-24,CE,Celanese,ESRX,Express Scripts,S&P 500 constituent Cigna (NYSE: CI) acquired ESRX[29]
2018-12-03,LW,Lamb Weston Holdings Inc,COL,Rockwell Collins,UTX acquired COL[30]
2018-12-03,MXIM,Maxim Integrated Products Inc,AET,Aetna Inc,CVS acquired Aetna[30]
2018-12-03,FANG,Diamondback Energy,SRCL,Stericycle,Market Capitalization change[30]
2018-11-13,JKHY,Jack Henry & Associates,EQT,EQT Corp,EQT spun off ETRN[31]
2018-11-06,KEYS,Keysight Technologies,CA,CA Inc.,CA acquired by Broadcom Inc..[32]
2018-10-11,FTNT,Fortinet,EVHC,Envision Healthcare,EVHC acquired by Kohlberg Kravis Roberts.[33]
2018-10-01,ROL,Rollins Inc.,ANDV,Andeavor,ANDV acquired by Marathon Petroleum.[34]
2018-09-14,WCG,WellCare,XL,XL Group,XL acquired by AXA.[35]
2018-08-28,ANET,Arista Networks,GGP,GGP Inc.,GGP acquired by Brookfield Property Partners.[36]
2018-07-02,CPRT,Copart,DPS,Dr Pepper Snapple Group,DPS acquired by Keurig Green Mountain.[37]
2018-06-20,FLT,FleetCor Technologies,TWX,Time Warner,AT&T acquired Time Warner.[38]
2018-06-18,BR,Broadridge Financial Solutions,RRC,Range Resources,Capitalization rebalance.[39]
2018-06-18,HFC,HollyFrontier,AYI,Acuity Brands,Capitalization rebalance.
2018-06-07,TWTR,Twitter,MON,Monsanto,Bayer acquired Monsanto.[40]
2018-06-05,EVRG,Evergy,NAVI,Navient Corp,Westar Energy (NYSE: WR) acquired Great Plains Energy (NYSE: GXP) and changed name to Evergy.[41]
2018-05-31,ABMD,Abiomed,WYN,Wyndham Worldwide,Wyndham Worldwide spun off Wyndham Hotels & Resorts Inc. (NYSE:WH).[42]
2018-04-04,MSCI,MSCI,CSRA,CSRA Inc.,S&P 500 constituent General Dynamics Corp. (NYSE: GD) acquired CSRA.[43]
2018-03-19,TTWO,Take-Two Interactive,SIG,Signet Jewelers,Market capitalization changes.[44]
2018-03-19,SIVB,SVB Financial,PDCO,Patterson Companies,Market capitalization changes.
2018-03-19,NKTR,Nektar Therapeutics,CHK,Chesapeake Energy,Market capitalization changes.
2018-03-07,IPGP,IPG Photonics,SNI,Scripps Networks Interactive,Discovery Communications acquired SNI.[45]
2018-01-03,HII,Huntington Ingalls Industries,BCR,CR Bard,Becton Dickinson acquired BCR.[46]
2017-10-13,NCLH,Norwegian Cruise Line Holdings,LVLT,Level 3 Communications,CenturyLink Inc acquired LVLT.[47]
2017-09-18,CDNS,Cadence Design Systems,SPLS,Staples Inc.,Sycamore Partners acquired Staples.[48]
2017-09-01,SBAC,SBA Communications,DD,DuPont,The Dow Chemical Company acquired DuPont.[49]
2017-08-29,Q,QuintilesIMS,WFM,Whole Foods Market,Amazon.com Inc. acquired Whole Foods Market.[49]
2017-08-08,BHF,Brighthouse Financial Inc,AN,AutoNation Inc,"BHF replaced AN,[50] MET spun off BHF[50]"
2017-07-26,DRE,Duke Realty Corp,RIG,Transocean,Market capitalization changes.[51]
2017-07-26,AOS,A.O. Smith,BBBY,Bed Bath & Beyond,Market capitalization changes.
2017-07-26,PKG,Packaging Corporation of America,MUR,Murphy Oil,Market capitalization changes.
2017-07-26,RMD,ResMed,MNK,Mallinckrodt,Market capitalization changes.
2017-07-26,MGM,MGM Resorts International,RAI,Reynolds American,British American Tobacco plc (NYSE MKT:BTI) acquired Reynolds American.[51]
2017-06-19,HLT,Hilton Worldwide Holdings Inc.,YHOO,Yahoo! Inc.,VZ acquired YHOO operations; remainder of YHOO converted to closed-end company known as Altaba.[52]
2017-06-19,ALGN,Align Technology Inc.,TDC,Teradata Corp.,Market capitalization changes.[52]
2017-06-19,ANSS,ANSYS Inc.,R,Ryder Systems Inc.,
2017-06-19,RE,Everest Re Group,MJN,Mead Johnson,Reckitt Benckiser Group plc acquired Mead Johnson Nutrition.[53]
2017-06-02,INFO,IHS Markit Ltd.,TGNA,"Tegna, Inc.",TGNA spins off Cars.com[54]
2017-04-05,IT,Gartner Inc,DNB,Dun & Bradstreet,IT acquiring CEB[55]
2017-04-04,DXC,DXC Technology,SWN,Southwestern Energy,"HPE spins off Everett Inc., merged with CSC to form DXC[56][57]"
2017-03-20,AMD,Advanced Micro Devices,URBN,Urban Outfitters,Market capitalization changes.[58]
2017-03-20,RJF,Raymond James Financial,FTR,Frontier Communications,Market capitalization changes.
2017-03-20,ARE,Alexandria Real Estate Equities,FSLR,First Solar,Market capitalization changes.
2017-03-16,SNPS,Synopsys,HAR,Harman Int'l Industries,Samsung Electronics Co. Ltd. acquired Harman International Industries.[59]
2017-03-13,DISH,Dish Network,LLTC,Linear Technology,S&P 500 constituent Analog Devices Inc. (NASD:ADI) acquired Linear Technology.[60]
2017-03-02,REG,Regency Centers Corporation,ENDP,Endo International,REG acquires EQY[61]
2017-03-01,CBOE,CBOE Holdings,PBI,Pitney Bowes Inc,CBOE acquires BATS[61]
2017-02-28,INCY,Incyte,SE,Spectra Energy Corp,SE acquired by ENB[61]
2017-01-05,IDXX,IDEXX Laboratories,STJ,St. Jude Medical,S&P 100 & 500 constituent Abbott Laboratories (NYSE:ABT) acquired St. Jude Medical.[62]
2016-12-02,MAA,Mid-America Apartments,OI,Owens-Illinois,Market capitalization changes[63]
2016-12-02,EVHC,Envision Healthcare,LM,Legg Mason,Market capitalization changes
2016-09-30,COTY,"Coty, Inc.",DO,Diamond Offshore Drilling,COTY replaces DO[64]
2016-09-22,COO,The Cooper Companies,HOT,Starwood Hotels & Resorts Worldwide Inc,MAR acquires HOT[65]
2016-09-08,CHTR,Charter Communications,EMC,EMC Corporation,Dell acquires EMC[66]
2016-09-06,MTD,Mettler Toledo,JCI,Johnson Controls Inc,TYC acquires JCI (and becomes new JCI).[67]
2016-07-05,FTV,Fortive Corp,CPGX,Columbia Pipeline Group,CPGX acquired by TRP[68]
2016-07-01,LNT,Alliant Energy Corp,GAS,AGL Resources,GAS acquired by SO[69]
2016-07-01,ALB,Albemarle Corp,TE,TECO Energy,TE acquired by EMA[68]
2016-06-22,FBHS,Fortune Brands Home & Security,CVC,Cablevision Systems,CVC acquired by Altice NV[70]
2016-04-08,UA,Under Armour Class C,,,Under Armour distribution of second class of stock
2016-06-03,TDG,TransDigm Group,BXLT,Baxalta Inc,SHPG acquiring BXLT[71]
2016-05-31,AJG,Arthur J. Gallagher & Co.,CCE,Coca-Cola Enterprises,CCE merging with European bottlers[72]
2016-05-23,LKQ,LKQ Corporation,ARG,Airgas Inc,ARG acquired by Air Liquide[73]
2016-05-18,DLR,Digital Realty Trust Inc,TWC,Time Warner Cable,TWC acquired by CHTR[74]
2016-05-13,ALK,Alaska Air Group Inc,SNDK,SanDisk Corporation,SNDK acquired by WDC[75]
2016-05-03,AYI,Acuity Brands Inc,ADT,ADT Corp,ADT acquired by APO[76]
2016-04-25,GPN,Global Payments Inc.,GME,GameStop,Global Payments is acquiring Heartland Payment Systems[77]
2016-04-18,ULTA,"Ulta Salon, Cosmetics & Fragrance Inc",THC,Tenet Healthcare,Ulta replaces Tenet[78]
2016-04-04,FL,Foot Locker Inc,CAM,Cameron International,Schlumberger acquired Cameron[79]
2016-03-30,HOLX,Hologic Inc,POM,Pepco Holdings Inc,Exelon Corp acquired Pepco[80]
2016-03-30,CNC,Centene Corporation,ESV,Ensco plc (now Valaris plc,Centene acquired Health Net[80]
2016-03-07,UDR,"UDR, Inc.",GMCR,Keurig Green Mountain,JAB Holding Company acquired Keurig Green Mountain[81]
2016-03-04,AWK,American Water Works Company Inc,CNX,Consol Energy,AWK replaces CNX[82]
2016-02-22,CXO,Concho Resources,PCL,Plum Creek Timber,PCL taken over by WY[83]
2016-02-01,CFG,Citizens Financial Group,PCP,Precision Castparts Corp.,CFG replaces PCP[84]
2016-02-01,FRT,Federal Realty Investment Trust,BRCM,Broadcom Corporation,FRT replaces BRCM[85]
2016-01-19,EXR,Extra Space Storage,CB,Chubb Corp,EXR replaces CB[86]
2016-01-05,WLTW,Willis Towers Watson,FOSL,Fossil Group,WSH merges with TW (and renames to WLTW)[87]
2015-12-29,CHD,Church & Dwight,ALTR,Altera Corp,ALTR taken over by INTC[88]
2015-12-15,,,CMCSK,Comcast K Corp,CMCSK shares no longer listed[89]
2015-12-01,CSRA,CSRA Inc,CSC,Computer Sciences Corp,CSC spins off CSRA[90]
2015-11-19,ILMN,Illumina Inc,SIAL,Sigma-Aldrich Corp,Sigma-Aldrich acquired by Merck KGaA (MKGAY)[91]
2015-11-18,SYF,Synchrony Financial,GNW,Genworth Financial,GE spinning off Synchrony Financial[92]
2015-11-02,HPE,Hewlett Packard Enterprise,HCBK,Hudson City Bancorp Inc,HPQ spins off HPE[93]
2015-10-07,VRSK,Verisk Analytics,JOY,Joy Global,Market capitalization change.[94]
2015-09-18,CMCSK,Comcast Class K Special,,,Share class methodology change[95]
2015-09-18,FOX,Twenty-First Century Fox Class B,,,Share class methodology change
2015-09-18,NWS,News Corporation Class B,,,Share class methodology change
2015-09-02,UAL,United Continental Holdings,HSP,Hospira Inc,Hospira taken over[96]
2015-08-28,ATVI,Activision Blizzard,PLL,Pall Corp,Pall taken over[96]
2015-07-29,SIG,Signet Jewelers,DTV,DirecTV,DirectTV acquired by AT&T[97]
2015-07-20,PYPL,PayPal,NE,Noble Corp,PayPal Spun off by eBay[98]
2015-07-08,AAP,Advance Auto Parts,FDO,Family Dollar Stores Inc.,Family Dollar Acquired.[99]
2015-07-06,KHC,Kraft Heinz,KRFT,Kraft Foods Group,Kraft merger with Heinz.[100]
2015-07-02,CPGX,Columbia Pipeline Group,ATI,Allegheny Technologies,Spin off of Columbia Pipeline.[101]
2015-07-01,JBHT,J. B. Hunt,TEG,Integrys Energy Group Inc.,Integris taken over.[102]
2015-07-01,BXLT,Baxalta,QEP,QEP Resources,Baxalta spun off by Baxter.[103]
2015-06-11,QRVO,Qorvo,LO,Lorillard Inc.,Lorillard Inc. gets acquired.[104]
2015-04-07,O,Realty Income Corporation,WIN,Windstream Holdings Inc,Market capitalization change.[105]
2015-03-23,AAL,American Airlines Group,AGN,"Allergan, Inc","Allergan acquired by Actavis plc (and changed name to Allergan, pl.[106]"
2015-03-23,EQIX,Equinix,DNR,Denbury Resources,Market Capitalization Changes.[107]
2015-03-23,SLG,SL Green Realty,NBR,Nabors Industries,Market Capitalization Changes.
2015-03-23,HBI,Hanesbrands,AVP,Avon Products,Market Capitalization Changes.
2015-03-18,HSIC,Henry Schein,CFN,Carefusion,Carefusion acquired by Becton Dickinson[108]
2015-03-12,SWKS,Skyworks Solutions Inc.,PETM,PetSmart Inc.,PetSmart acquired by private equity consortium[109]
2015-01-27,HCA,HCA Holdings,SWY,Safeway Inc,Safeway acquired by private equity consortium[110]
2015-01-27,ENDP,Endo International,COV,Covidien,Covidien acquired by Medtronic[111]
2014-12-05,RCL,Royal Caribbean Cruises,BMS,Bemis Company,Market cap changes[112]
2014-11-05,LVLT,Level 3 Communications,JBL,Jabil Circuit,Market cap changes[113]
2014-09-20,URI,United Rentals,BTU,Peabody Energy,Market cap changes[114]
2014-09-20,UHS,Universal Health Services,GHC,Graham Holdings,Market cap changes
2014-08-18,MNK,Mallinckrodt plc,RDC,Rowan Companies plc,Market cap changes[115]
2014-08-06,DISCK,Discovery Communications,,,Class C share distribution[116]
2014-07-02,MLM,Martin Marietta Materials,X,United States Steel Corporation,Market capitalization changes[117]
2014-07-01,AMG,Affiliated Managers Group,FRX,Forest Laboratories,Actavis acquires Forest Laboratories[118]
2014-06-20,XEC,Cimarex Energy,IGT,International Game Technology,Market capitalization changes[119]
2014-05-08,AVGO,Avago Technologies,LSI,LSI Corporation,Avago acquires LSI[120]
2014-05-01,UA,Under Armour,BEAM,Beam Inc.,Beam acquired by Suntory[121]
2014-05-01,NAVI,Navient,SLM,SLM Corporation,Navient Spun off from SLM[121]
2014-04-03,GOOGL,Google Inc.,,,Google Class C share distribution[122]
2014-04-02,ESS,Essex Property Trust Inc,CLF,Cliffs Natural Resources,Market capitalization changes[123]
2014-03-21,GMCR,Keurig Green Mountain,WPX,"WPX Energy, Inc.",Market capitalization changes[124]
2014-01-24,TSCO,Tractor Supply Company,LIFE,Life Technologies,Life Technologies acquired by Thermo Fisher Scientific Inc[125]
2013-12-23,ADS,Alliance Data Systems,ANF,Abercrombie & Fitch,Market capitalization changes.[126]
2013-12-23,MHK,Mohawk Industries,JDSU,JDS Uniphase,Market capitalization changes
2013-12-23,FB,Facebook,TER,Teradyne,Market capitalization changes
2013-12-10,GGP,General Growth Properties,MOLX,Molex Inc.,MOLX acquired by Koch Industries.[127]
2013-12-02,ALLE,Allegion,JCP,J.C. Penney,Allegion spun off by Ingersoll Rand[128]
2013-11-13,KORS,Michael Kors,NYX,NYSE Euronext,ICE Exchange acquired NYSE Euronext[129]
2013-10-29,RIG,Transocean,DELL,"Dell, Inc.",Founder Michael Dell and Silver Lake Partners acquired Dell.[130]
2013-09-20,VRTX,Vertex Pharmaceuticals,AMD,Advanced Micro Devices,Market capitalization changes[131]
2013-09-20,AME,Ametek,SAI,SAIC,Market capitalization changes
2013-09-10,DAL,Delta Air Lines,BMC,BMC Software,BMC taken private by consortium[132]
2013-07-08,NLSN,Nielsen Holdings,S,Sprint Nextel Corp.,Softbank consortium purchase results in public float below 50%[133]
2013-06-28,FOXA,21st Century Fox,APOL,Apollo Group Inc.,Apollo Group's market cap more representative of a mid-cap[134]
2013-06-21,ZTS,Zoetis,FHN,First Horizon,Zoetis spun off by Pfizer[135]
2013-06-06,GM,General Motors,HNZ,H. J. Heinz Company,HNZ acquired by consortium[136]
2013-05-23,KSU,Kansas City Southern,DF,Dean Foods,DF too small after spinoff of White Wave Foods[137]
2013-05-08,MAC,Macerich,CVH,Coventry Health Care,Acquired by Aetna (AET)[138]
2013-04-30,REGN,Regeneron Pharmaceuticals,PCS,MetroPCS,A majority of MetroPCS was acquired by T-Mobile[139]
2013-02-15,PVH,PVH Corp.,BIG,Big Lots Inc.,Market capitalization changes[140]
2012-12-31,ABBV,AbbVie,FII,Federated Investors,ABBV spun off from Abbott Labs (ABT)[141]
2012-12-21,DLPH,Delphi Automotive,TIE,Titanium Metals,TIE acquired by Precision Cast Parts (PCP)[142]
2012-12-11,GRMN,Garmin Ltd.,RRD,R.R. Donnelley,Market capitalization changes[143]
2012-12-03,DG,Dollar General,CBE,Cooper Industries,Acquired by Eaton Corp. (ETN)[144]
2012-10-10,PETM,"PetSmart, Inc.",SUN,Sunoco Inc.,Acquired by Energy Transfer Partners (ETP)[145]
2012-10-02,KRFT,Kraft Foods Group,ANR,Alpha Natural Resources,Kraft split into two companies[146]
2012-10-01,ADT,ADT Corp,LXK,Lexmark Int'l Inc,Tyco spun off ADT[147]
2012-10-01,PNR,Pentair Ltd.,DV,"DeVry, Inc.",Tyco spin-off merged w/Pentair[147]
2012-09-05,LYB,LyondellBasell,SHLD,Sears Holding Corporation,SHLD below public float threshold[148]
2012-07-31,ESV,Ensco plc (now Valaris plc,GR,Goodrich Corporation,Acquired by United Technologies (UTX)[149]
2012-07-02,STX,Seagate Technology,PGN,Progress Energy Inc,Acquired by Duke Energy (DUK)[150]
2012-06-29,MNST,Monster Beverage,SLE,Sara Lee Corp.,Split up of Sara Lee[151]
2012-06-05,LRCX,Lam Research,NVLS,Novellus Systems,Acquired by Lam Research (LRCX)[152]
2012-05-21,ALXN,Alexion Pharmaceuticals,MMI,Motorola Mobility,Acquired by Google (GOOG)[153]
2012-05-17,KMI,Kinder Morgan,EP,El Paso Corp.,Acquired by Kinder Morgan (KMI)[154]
2012-04-23,PSX,Phillips 66,SVU,Supervalu Inc.,ConocoPhillips spun off Phillips 66[155]
2012-04-03,FOSL,"Fossil, Inc.",MHS,Medco Health Solutions Inc.,Acquired by Express Scripts (ESRX)[156]
2012-03-13,CCI,Crown Castle International Corp.,CEG,Constellation Energy Group,Acquired by Exelon Corp. (EXC)[157]
2011-12-31,WPX,"WPX Energy, Inc.",CPWR,Compuware,Market capitalization changes[158]
2011-12-20,TRIP,TripAdvisor Inc.,TLAB,Tellabs Inc.,Expedia Inc. spun off TripAdvisor Inc.[159]
2011-12-16,BWA,BorgWarner Inc.,AKS,AK Steel Holding Corp.,Market capitalization changes[160]
2011-12-16,PRGO,Perrigo Co.,MWW,Monster Worldwide Inc.,Market capitalization changes
2011-12-16,DLTR,Dollar Tree Inc.,WFR,MEMC Electronic Materials Inc.,Market capitalization changes
2011-12-12,GAS,AGL Resources Inc.,GAS,Nicor Inc.,"Nicor acquired by AGL, which retained the GAS ticker.[161]"
2011-11-18,CBE,Cooper Industries,JNS,Janus Capital Group,Janus Capital Group's market capitalization is less than $1.2 billion and is no longer representative of the large cap market space.[162]
2011-10-31,XYL,Xylem Inc.,ITT,ITT Corp.,Spun off from ITT Corp.[163]
2011-10-14,TEL,TE Connectivity Ltd.,CEPH,Cephalon Inc.,Acquired by Teva Pharmaceutical Industries (TEVA).[164]
2011-09-23,MOS,The Mosaic Company,NSM,National Semiconductor Corp.,Acquired by Texas Instruments (TXN).[165]
2011-07-05,ACN,Accenture plc,MI,Marshall & Iisley Corp.,Marshall & Iisley is being bought by Bank of Montreal[166]
2011-06-30,MPC,Marathon Petroleum Corp,RSH,RadioShack Corp.,Market capitalization adjustments.[167]
2011-06-01,ANR,"Alpha Natural Resources, Inc.",MEE,Massey Energy Company,Alpha Natural Resources is acquiring Massey Energy in a deal expected to becompleted on or about that date pending final approvals.[168]
2011-04-27,CMG,Chipotle Mexican Grill,NOVL,"Novell, Inc.",Acquired by private equity firms.[169]
2011-04-01,BLK,BlackRock,GENZ,Genzyme Corp.,Acquired by Sanofi-aventis (SNY)[170]
2011-03-31,EW,Edwards Lifesciences,Q,Qwest Communications,Acquired by CenturyLink[171]
2011-02-28,COV,Covidien plc,MFE,McAfee Inc.,Acquired by Intel Corp. (INTC)[172]
2011-02-25,JOY,Joy Global Inc.,AYE,Allegheny Energy Inc.,Acquired by First Energy (FE).[173]
2010-12-17,CVC,Cablevision Systems Corp.,KG,King Pharmaceuticals Inc.,Acquired by Pfizer Inc. (PFE).[174]
2010-12-17,FFIV,F5 Networks Inc.,EK,Eastman Kodak Co.,Market Cap changes.[174]
2010-12-17,NFLX,Netflix Inc.,ODP,Office Depot Inc.,Market Cap changes.
2010-12-17,NFX,Newfield Exploration,NYT,The New York Times Co.,Market Cap changes.
2010-11-17,IR,Ingersoll-Rand plc,PTV,Pactiv Corp.,Reynolds Group Holding Ltd. acquired Pactiv.[175]
2010-08-26,TYC,Tyco International Ltd.,SII,Smith International Inc.,Acquired by Schlumberger Ltd. (SLB)[176]
2010-07-14,CB,Chubb Limited,MIL,Millipore Inc.,Acquired by Merck KGaA (MKGAY)[177]
2010-06-30,QEP,QEP Resources,STR,Questar Corp.,"Company split. QEP retained, but ticker changed.[178]"
2010-06-28,KMX,"CarMax, Inc.",XTO,XTO Energy Inc.,Acquired by ExxonMobil Inc. (XOM)[179]
2010-04-29,CERN,Cerner Corp.,BJS,BJ Services Company,Acquired by Baker Hughes Inc. (BHI)[180]
2010-02-26,HP,Helmerich & Payne,RX,IMS Health,Taken private[181]
2009-11-03,PCLN,Priceline.com,SGP,Schering-Plough Corp.,Acquired by Merck & Co. (MRK)[182]
2009-09-28,ARG,Airgas Inc,CBE,Cooper Industries Ltd.,Redomesticated to Ireland[183]
2009-03-03,HRL,Hormel Foods,ACAS,American Capital,Capitalization rebalance.[184]
2009-03-03,VTR,Ventas Inc.,JNY,Jones Apparel Group,Capitalization rebalance.
2008-12-31,OI,Owens-Illinois,WB,Wachovia Bank,Wachovia Bank acquired by Wells Fargo.[185]
2008-09-16,HRS,Harris Corporation,LEH,Lehman Brothers,Lehman Brothers bankruptcy.[186]
2008-09-12,CRM,Salesforce.com,FRE,Freddie Mac,Capitalization rebalance.[187]
2008-09-12,FAST,Fastenal,FNM,Fannie Mae,Capitalization rebalance.[188]
2008-06-10,LO,Lorillard Inc.,ABK,Ambac Financial,Market Value Decline[189]
2007-12-20,RRC,Range Resources,TRB,Tribune Co.,Taken private[190]
2007-12-13,GME,GameStop,DJ,Dow Jones,Acquired by News Corp.[191]
2007-10-26,JEC,Jacobs Engineering Group,AV,Avaya Inc.,Taken private[192]
2007-10-02,EXPE,"Expedia, Inc.",SLR,Solectron,Solectron acquired by Flextronics.[193]
2007-10-01,TDC,Teradata Corp.,NCR,NCR Corp.,Teradata spun off by NCR Corp.[193]
2007-09-27,TSO,Tesoro Corp.,MXIM,Maxim Integrated Products,MXIM delisted from NASDAQ exchange.[193]
2007-09-26,ICE,Intercontinental Exchange,FDC,First Data Corp.,FDC acquired by Kohlberg Kravis Roberts.[193]
2007-08-24,LUK,Leucadia National,KSE,KeySpan,Acquired by National Grid plc[194]
2007-03-30,KFT,Kraft Foods,TSG,Sabre Holdings,Taken Private[195]
2007-01-10,AVB,"AvalonBay Communities, Inc.",SBL,Symbol Technologies,Acquired by Motorola[196]
2006-06-02,JNPR,Juniper Networks,ABS,Albertsons,Albertsons acquired by SuperValu and CVS Corp.[197]
2005-07-01,STZ,Constellation Brands,GLK,Great Lakes Chemical,Acquired by Crompton Corp.[198]
2003-09-25,ESRX,Express Scripts,QTRN,Quintiles Transnational,Taken private[199]
2000-12-05,INTU,Intuit,BS,Bethlehem Steel,Market Cap changes.[200]
2000-12-05,SBL,Symbol Technologies,OI,Owens-Illinois,Market Cap changes.
2000-12-05,AYE,Allegheny Energy,GRA,W.R. Grace,Market Cap changes.
2000-12-05,ABK,Ambac Financial,CCK,Crown Holdings,Market Cap changes.
2000-07-27,JDSU,JDS Uniphase,RAD,RiteAid,Market Cap change.[201]
1999-12-07,YHOO,Yahoo!,LDW,Laidlaw,Market Cap change.[202]
