id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote
5994,Shiba Inu,SHIB,shiba-inu,794,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589289410812691.0,589534086491242.2,False,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce'}",11,,,,2024-04-19T16:36:00.000Z,"{'USD': {'price': 2.2610894311593857e-05, 'volume_24h': 621383218.5819243, 'volume_change_24h': 22.1962, 'percent_change_1h': -1.40784775, 'percent_change_24h': -0.93540607, 'percent_change_7d': -15.52570402, 'percent_change_30d': -8.38860588, 'percent_change_60d': 130.87585834, 'percent_change_90d': 141.00828919, 'market_cap': 13324360586.827171, 'market_cap_dominance': 0.5748, 'fully_diluted_market_cap': 13329892922.74, 'tvl': None, 'last_updated': '2024-04-19T16:36:00.000Z'}}"
5805,Avalanche,AVAX,avalanche,715,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,377990813.86028284,436680453.86028284,False,,12,,,,2024-04-19T16:36:00.000Z,"{'USD': {'price': 34.957475952701145, 'volume_24h': 630222844.8838061, 'volume_change_24h': -2.8991, 'percent_change_1h': -1.18971173, 'percent_change_24h': -0.28149573, 'percent_change_7d': -20.2650557, 'percent_change_30d': -31.32851651, 'percent_change_60d': -11.6267659, 'percent_change_90d': 7.3941255, 'market_cap': 13213604785.862772, 'market_cap_dominance': 0.57, 'fully_diluted_market_cap': 25020768632.62, 'tvl': None, 'last_updated': '2024-04-19T16:36:00.000Z'}}"
6636,Polkadot,DOT,polkadot-new,746,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1435350099.9650457,1435350099.9650457,True,,13,,,,2024-04-19T16:37:00.000Z,"{'USD': {'price': 6.7487049433209645, 'volume_24h': 272994661.31238186, 'volume_change_24h': 39.3613, 'percent_change_1h': -0.90762665, 'percent_change_24h': -0.24341266, 'percent_change_7d': -16.65060349, 'percent_change_30d': -21.9849997, 'percent_change_60d': -13.00840859, 'percent_change_90d': -1.69096728, 'market_cap': 9686754315.030344, 'market_cap_dominance': 0.4175, 'fully_diluted_market_cap': 9686754315.03, 'tvl': None, 'last_updated': '2024-04-19T16:37:00.000Z'}}"
1958,TRON,TRX,tron,972,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87605031593.21431,87605114968.01312,True,,14,71659659264.0,7882108115.829573,,2024-04-19T16:36:00.000Z,"{'USD': {'price': 0.10999365887006589, 'volume_24h': 457351819.7692815, 'volume_change_24h': 18.724, 'percent_change_1h': -0.18461356, 'percent_change_24h': 0.78170896, 'percent_change_7d': -8.39861929, 'percent_change_30d': -3.05162574, 'percent_change_60d': -19.35143367, 'percent_change_90d': -0.16132812, 'market_cap': 9635997960.36536, 'market_cap_dominance': 0.4153, 'fully_diluted_market_cap': 9636007131.06, 'tvl': None, 'last_updated': '2024-04-19T16:36:00.000Z'}}"
1831,Bitcoin Cash,BCH,bitcoin-cash,882,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19693562.5,19693562.5,False,,15,,,,2024-04-19T16:36:00.000Z,"{'USD': {'price': 473.6901772343063, 'volume_24h': 543657475.9801168, 'volume_change_24h': -1.8075, 'percent_change_1h': -0.96110941, 'percent_change_24h': -2.15982434, 'percent_change_7d': -17.80235517, 'percent_change_30d': 30.55113329, 'percent_change_60d': 75.5118949, 'percent_change_90d': 99.70791539, 'market_cap': 9328647110.999887, 'market_cap_dominance': 0.4024, 'fully_diluted_market_cap': 9947493721.92, 'tvl': None, 'last_updated': '2024-04-19T16:36:00.000Z'}}"
1975,Chainlink,LINK,chainlink,1735,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,587099970.4527867,1000000000.0,False,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x514910771af9ca656af840dff83e8264ecf986ca'}",16,,,,2024-04-19T16:36:00.000Z,"{'USD': {'price': 13.879504870854094, 'volume_24h': 472258577.4354123, 'volume_change_24h': 27.286, 'percent_change_1h': -0.91216911, 'percent_change_24h': 1.64080852, 'percent_change_7d': -18.54930516, 'percent_change_30d': -17.02881494, 'percent_change_60d': -30.78615565, 'percent_change_90d': -12.03658049, 'market_cap': 8148656899.577747, 'market_cap_dominance': 0.3512, 'fully_diluted_market_cap': 13879504870.85, 'tvl': None, 'last_updated': '2024-04-19T16:36:00.000Z'}}"
3890,Polygon,MATIC,polygon,1364,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain', 'standard-crypto-portfolio']",10000000000.0,9894742027.932396,10000000000.0,False,,17,,,,2024-04-19T16:36:00.000Z,"{'USD': {'price': 0.672130112040581, 'volume_24h': 416713305.7920497, 'volume_change_24h': 29.8051, 'percent_change_1h': -1.76107647, 'percent_change_24h': -1.90817622, 'percent_change_7d': -20.00842507, 'percent_change_30d': -27.02870234, 'percent_change_60d': -31.8698284, 'percent_change_90d': -13.11968502, 'market_cap': 6650554067.846848, 'market_cap_dominance': 0.2869, 'fully_diluted_market_cap': 6721301120.41, 'tvl': None, 'last_updated': '2024-04-19T16:36:00.000Z'}}"
8916,Internet Computer,ICP,internet-computer,235,2021-03-23T00:00:00.000Z,"['platform', 'distributed-computing', 'collectibles-nfts', 'defi', 'privacy', 'interoperability', 'smart-contracts', 'dao', 'wallet', 'storage', 'polychain-capital-portfolio', 'governance', 'launchpad', 'lending-borowing', 'metaverse', 'electric-capital-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'a16z-portfolio', 'multicoin-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'internet-computer-ecosystem', 'bitcoin-ecosystem', 'real-world-assets', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'depin']",,462888012.1474249,517759968.34610116,True,"{'id': 8916, 'name': 'ICP', 'symbol': 'ICP', 'slug': 'internet-computer', 'token_address': 'ryjl3-tyaaa-aaaaa-aaaba-cai'}",18,462888012.1474249,6231156392.041546,,2024-04-19T16:36:00.000Z,"{'USD': {'price': 13.461477135979466, 'volume_24h': 190023648.89801103, 'volume_change_24h': 18.8211, 'percent_change_1h': -1.01232107, 'percent_change_24h': 6.86215501, 'percent_change_7d': -10.29482561, 'percent_change_30d': 24.69427645, 'percent_change_60d': -4.77072641, 'percent_change_90d': 19.56842719, 'market_cap': 6231156392.041546, 'market_cap_dominance': 0.2688, 'fully_diluted_market_cap': 6969813975.82, 'tvl': None, 'last_updated': '2024-04-19T16:36:00.000Z'}}"
2,Litecoin,LTC,litecoin,1174,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,74439756.10750493,84000000.0,False,,19,,,,2024-04-19T16:37:00.000Z,"{'USD': {'price': 81.3331652239091, 'volume_24h': 475916048.8831233, 'volume_change_24h': -10.2363, 'percent_change_1h': -0.13010057, 'percent_change_24h': -0.43420221, 'percent_change_7d': -14.79338153, 'percent_change_30d': 3.24997406, 'percent_change_60d': 14.34368001, 'percent_change_90d': 14.86724589, 'market_cap': 6054420982.719195, 'market_cap_dominance': 0.2609, 'fully_diluted_market_cap': 6831985878.81, 'tvl': None, 'last_updated': '2024-04-19T16:37:00.000Z'}}"
6535,NEAR Protocol,NEAR,near-protocol,398,2020-08-11T00:00:00.000Z,"['platform', 'ai-big-data', 'staking', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'arrington-xrp-capital-portfolio', 'coinfund-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'kenetic-capital-portfolio', 'near-protocol-ecosystem', 'cross-chain', 'injective-ecosystem', 'circle-ventures-portfolio', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'account-abstraction', 'data-availability']",,1063890016.0,1186770494.0,False,,20,,,,2024-04-19T16:37:00.000Z,"{'USD': {'price': 5.535689242784567, 'volume_24h': 533769033.3621523, 'volume_change_24h': -25.8769, 'percent_change_1h': -1.27015406, 'percent_change_24h': -3.24539034, 'percent_change_7d': -15.4207344, 'percent_change_30d': -13.11585017, 'percent_change_60d': 57.09594201, 'percent_change_90d': 90.41382971, 'market_cap': 5889364517.077101, 'market_cap_dominance': 0.2538, 'fully_diluted_market_cap': 6569592657.29, 'tvl': None, 'last_updated': '2024-04-19T16:37:00.000Z'}}"
3957,UNUS SED LEO,LEO,unus-sed-leo,46,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,926582143.9,985239504.0,False,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3'}",21,,,,2024-04-19T16:36:00.000Z,"{'USD': {'price': 5.81302682831282, 'volume_24h': 886171.72547663, 'volume_change_24h': -63.936, 'percent_change_1h': -0.1390815, 'percent_change_24h': -0.81021269, 'percent_change_7d': 0.27397243, 'percent_change_30d': -3.36911216, 'percent_change_60d': 41.31777197, 'percent_change_90d': 45.80495985, 'market_cap': 5386246861.126309, 'market_cap_dominance': 0.2323, 'fully_diluted_market_cap': 5727223669.07, 'tvl': None, 'last_updated': '2024-04-19T16:36:00.000Z'}}"
4943,Dai,DAI,multi-collateral-dai,3186,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,5347888595.7464075,5347888595.7464075,True,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x6b175474e89094c44da98b954eedeac495271d0f'}",22,,,,2024-04-19T16:36:00.000Z,"{'USD': {'price': 1.0001262342601038, 'volume_24h': 919903920.2015206, 'volume_change_24h': 211.5551, 'percent_change_1h': 0.00425982, 'percent_change_24h': -0.00490316, 'percent_change_7d': 0.03608138, 'percent_change_30d': 0.00119858, 'percent_change_60d': 0.02842791, 'percent_change_90d': -0.05160861, 'market_cap': 5348563682.50641, 'market_cap_dominance': 0.2307, 'fully_diluted_market_cap': 5348563682.51, 'tvl': None, 'last_updated': '2024-04-19T16:36:00.000Z'}}"
7083,Uniswap,UNI,uniswap,999,2020-09-17T00:00:00.000Z,"['decentralized-exchange-dex-token', 'defi', 'dao', 'yield-farming', 'amm', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'governance', 'blockchain-capital-portfolio', 'defiance-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'parafi-capital', 'paradigm-portfolio', 'arbitrum-ecosytem', 'injective-ecosystem', 'optimism-ecosystem', 'cmc-crypto-awards-2024']",1000000000.0,598736139.71,1000000000.0,False,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x1f9840a85d5af5bf1d1762f925bdaddc4201f984'}",23,,,0.84651129,2024-04-19T16:36:00.000Z,"{'USD': {'price': 7.501564908097804, 'volume_24h': 181254313.38681042, 'volume_change_24h': 18.0678, 'percent_change_1h': -0.97636568, 'percent_change_24h': 3.58307715, 'percent_change_7d': -15.84967873, 'percent_change_30d': -29.98995873, 'percent_change_60d': -1.30121259, 'percent_change_90d': 15.35042217, 'market_cap': 4491458014.85848, 'market_cap_dominance': 0.1937, 'fully_diluted_market_cap': 7501564908.1, 'tvl': 5305845395.74015, 'last_updated': '2024-04-19T16:36:00.000Z'}}"
21794,Aptos,APT,aptos,371,2022-10-19T01:50:25.000Z,"['binance-labs-portfolio', 'aptos-ecosystem', 'circle-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'move-vm']",,425350067.3420003,1091773973.2895753,True,,24,130000000.0,1225683849.872987,,2024-04-19T16:36:00.000Z,"{'USD': {'price': 9.428337306715285, 'volume_24h': 198207207.57043472, 'volume_change_24h': -17.9776, 'percent_change_1h': -1.01145854, 'percent_change_24h': -0.87155853, 'percent_change_7d': -15.52486002, 'percent_change_30d': -34.70466852, 'percent_change_60d': -4.89566792, 'percent_change_90d': 12.48382837, 'market_cap': 4010343908.33444, 'market_cap_dominance': 0.173, 'fully_diluted_market_cap': 10293613282.87, 'tvl': None, 'last_updated': '2024-04-19T16:36:00.000Z'}}"
1321,Ethereum Classic,ETC,ethereum-classic,524,2016-07-24T00:00:00.000Z,"['mineable', 'pow', 'ethash', 'platform', 'smart-contracts', 'dcg-portfolio']",210700000.0,146632393.48840636,210700000.0,False,,25,,,,2024-04-19T16:36:00.000Z,"{'USD': {'price': 26.023472825207566, 'volume_24h': 294555581.89108354, 'volume_change_24h': 38.2073, 'percent_change_1h': -0.70608149, 'percent_change_24h': -0.4901583, 'percent_change_7d': -19.92055115, 'percent_change_30d': -5.46029115, 'percent_change_60d': -3.14812582, 'percent_change_90d': 7.33594604, 'market_cap': 3815884107.240686, 'market_cap_dominance': 0.1646, 'fully_diluted_market_cap': 5483145724.27, 'tvl': None, 'last_updated': '2024-04-19T16:36:00.000Z'}}"
27075,Mantle,MNT,mantle,61,2023-07-17T11:00:31.000Z,"['ethereum-ecosystem', 'layer-2', 'dwf-labs-portfolio']",6219316795.0,3264441707.8368406,6219316794.99,False,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x3c3a81e81dc49a522a592e7622a7e711c06bf354'}",26,1843669839.0,2112076882.343774,,2024-04-19T16:37:00.000Z,"{'USD': {'price': 1.1455830310102362, 'volume_24h': 94802748.55736575, 'volume_change_24h': 9.2445, 'percent_change_1h': -1.07886024, 'percent_change_24h': -0.31686045, 'percent_change_7d': -6.90166291, 'percent_change_30d': 50.52941405, 'percent_change_60d': 50.65011023, 'percent_change_90d': 70.00235021, 'market_cap': 3739689026.2199597, 'market_cap_dominance': 0.1612, 'fully_diluted_market_cap': 7124743784.83, 'tvl': None, 'last_updated': '2024-04-19T16:37:00.000Z'}}"
26081,First Digital USD,FDUSD,first-digital-usd,289,2023-07-26T04:26:40.000Z,"['stablecoin', 'ethereum-ecosystem', 'binance-smart-chain', 'usd-stablecoin']",,3588766587.24,3588766587.24,False,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xc5f0f7b66764F6ec8C8Dff7BA683102295E16409'}",27,,,,2024-04-19T16:36:00.000Z,"{'USD': {'price': 1.0003616076718373, 'volume_24h': 9569785353.175314, 'volume_change_24h': 7.2225, 'percent_change_1h': 0.05026431, 'percent_change_24h': 0.05714786, 'percent_change_7d': -0.28432107, 'percent_change_30d': -0.01320704, 'percent_change_60d': 0.1491563, 'percent_change_90d': -0.2839518, 'market_cap': 3590064312.770379, 'market_cap_dominance': 0.1547, 'fully_diluted_market_cap': 3590064312.77, 'tvl': None, 'last_updated': '2024-04-19T16:36:00.000Z'}}"
