,start_date,end_date,data_points_count
AFQ,2015-09-29 09:34:00,2015-09-29 15:50:00,4.0
AFSD,2015-09-29 09:30:00,2017-11-16 09:58:00,24399.0
AFSI,2015-09-29 09:30:00,2018-11-29 08:19:00,267811.0
AFSI.A,2015-09-29 09:48:00,2019-02-07 16:27:00,18363.0
AFSI.B,2015-09-29 09:34:00,2019-02-07 16:29:00,19896.0
AFSI.C,2015-09-29 11:23:00,2019-02-07 16:30:00,16959.0
AFSI.D,2015-09-29 09:30:00,2019-02-07 17:16:00,24895.0
AFSI.E,2016-03-17 08:50:00,2019-02-07 16:31:00,25110.0
AFSI.F,2016-09-29 09:30:00,2019-02-07 17:05:00,34899.0
AFSS,2015-09-29 09:34:00,2019-02-07 16:12:00,21048.0
AFST,2017-11-24 09:30:00,2019-02-07 16:12:00,8294.0
AFT,2015-09-29 09:30:00,2020-08-18 15:59:00,120408.0
AFW,2015-09-29 09:35:00,2017-06-23 16:10:00,9143.0
AFYA,2019-07-19 10:47:00,2020-08-18 16:00:00,56554.0
AG,2015-09-29 09:30:00,2020-08-18 16:06:00,501496.0
AGBA,2019-07-30 09:29:00,2020-08-13 09:30:00,134.0
AGBAR,2019-07-18 11:27:00,2020-08-18 15:56:00,253.0
AGBAU,2019-05-14 14:07:00,2020-08-04 09:57:00,358.0
AGBAW,2019-07-30 15:37:00,2020-08-18 15:28:00,430.0
AGC,2015-09-29 09:30:00,2018-08-24 16:02:00,89392.0
AGCO,2015-09-29 09:30:00,2020-08-18 16:00:00,414244.0
AGD,2015-09-29 09:30:00,2020-08-18 15:59:00,88331.0
AGE,2018-11-29 09:33:00,2020-08-18 16:00:00,46887.0
AGEN,2015-09-29 09:30:00,2020-08-18 16:09:00,408186.0
AGFS,2015-09-29 09:30:00,2020-08-18 16:00:00,187098.0
AGFSW,2015-09-29 09:33:00,2020-08-04 10:42:00,8370.0
AGI,2015-09-29 09:28:00,2020-08-18 16:00:00,456424.0
AGII,2015-09-29 09:30:00,2018-05-04 16:00:00,109295.0
AGIIL,2015-09-29 12:28:00,2018-05-04 14:56:00,10013.0
AGIO,2015-09-29 08:05:00,2020-08-18 16:00:00,375779.0
AGL,,,
AGLE,2016-04-07 10:50:00,2020-08-18 16:00:00,113069.0
AGM,2015-09-29 09:41:00,2020-08-18 16:00:00,106558.0
AGM.A,2015-10-05 12:38:00,2020-08-17 15:16:00,3183.0
AGM.B,2015-09-29 09:30:00,2019-06-11 15:50:00,3876.0
AGM.C,2015-10-01 11:25:00,2020-08-14 14:31:00,2458.0
AGM.D,2019-05-17 09:36:00,2020-08-17 15:56:00,6433.0
AGM.E,2020-05-27 09:33:00,2020-08-17 13:21:00,1267.0
AGMH,2018-04-18 11:11:00,2020-08-18 15:59:00,15913.0
AGN,2015-09-29 08:14:00,2020-05-08 17:28:00,462382.0
AGN.A,2015-09-29 09:30:00,2018-02-28 17:31:00,40243.0
AGNC,2015-09-29 09:30:00,2020-08-18 16:03:00,489525.0
AGNCB,2015-09-29 09:30:00,2019-11-25 19:05:00,27244.0
AGNCM,2019-03-06 12:05:00,2020-08-18 15:59:00,22048.0
AGNCN,2017-08-28 09:30:00,2020-08-18 16:00:00,42196.0
AGNCO,2019-10-04 09:30:00,2020-08-18 15:52:00,19668.0
AGNCP,2015-09-29 09:30:00,2020-08-18 15:59:00,27762.0
AGO,2015-09-29 09:30:00,2020-08-18 16:00:00,420811.0
AGO.B,2015-09-29 12:02:00,2020-08-17 14:14:00,11313.0
AGO.E,2015-09-29 09:30:00,2020-08-17 15:23:00,27080.0
AGO.F,2015-09-29 09:30:00,2020-08-17 15:54:00,11079.0
AGP,,,
AGR,2015-12-17 09:33:00,2020-08-18 16:00:00,358131.0
AGRO,2015-09-29 09:30:00,2020-08-18 16:00:00,312094.0
AGRX,2015-09-29 09:30:00,2020-08-18 16:00:00,235042.0
AGS,2018-01-26 09:55:00,2020-08-18 16:00:00,155883.0
AGTC,2015-09-29 09:30:00,2020-08-18 16:00:00,179729.0
AGU,2015-09-29 09:30:00,2017-12-29 16:01:00,182730.0
AGX,2015-09-29 09:30:00,2020-08-18 16:00:00,230857.0
AGYS,2015-09-29 09:30:00,2020-08-18 16:00:00,128990.0
AH,,,
AHB,,,
AHC,2015-09-29 09:30:00,2020-08-18 15:59:00,53232.0
AHCI,,,
AHCO,2018-05-24 11:07:00,2020-08-18 16:00:00,25028.0
AHCOW,2018-05-22 10:16:00,2020-08-12 13:17:00,2875.0
AHG,,,
AHGP,2018-03-15 09:30:00,2018-05-31 16:00:00,6213.0
AHH,2015-09-29 04:00:00,2020-08-18 16:00:00,287917.0
AHH.A,2019-06-19 09:31:00,2020-08-17 15:59:00,2536.0
AHL,2015-09-29 09:30:00,2019-02-14 16:04:00,236035.0
AHL.A,2015-09-29 10:15:00,2016-12-30 15:43:00,11690.0
AHL.B,2015-09-29 09:30:00,2017-06-30 16:02:00,6914.0
AHL.C,2015-09-29 09:30:00,2020-08-17 15:54:00,48747.0
AHL.D,2016-09-22 09:30:00,2020-08-17 15:43:00,41939.0
AHL.E,2019-08-15 09:30:00,2020-08-17 15:59:00,13644.0
AHP,2015-09-29 09:30:00,2018-04-23 16:00:00,128238.0
AHP.B,2016-05-02 09:56:00,2018-04-23 10:48:00,4567.0
AHPA,2017-01-05 13:16:00,2018-10-30 14:20:00,1435.0
AHPAU,2016-10-11 10:09:00,2018-10-30 10:16:00,1183.0
AHPAW,2017-01-05 13:15:00,2018-10-30 15:15:00,1410.0
AHPI,2015-09-29 11:00:00,2020-08-18 16:00:00,58970.0
AHR,,,
AHS,2015-09-29 09:22:00,2016-10-26 18:58:00,97476.0
AHT,2015-09-29 09:30:00,2020-08-18 16:10:00,369576.0
AHT.A,2015-09-30 10:07:00,2017-09-15 16:05:00,4413.0
AHT.D,2015-09-29 09:30:00,2020-08-17 15:44:00,24768.0
AHT.E,2015-09-29 09:36:00,2016-08-05 16:06:00,4696.0
AHT.F,2016-07-19 09:34:00,2020-08-17 15:58:00,24444.0
AHT.G,2016-10-21 09:32:00,2020-08-17 16:26:00,28508.0
AHT.H,2017-08-29 09:37:00,2020-08-17 15:34:00,17477.0
AHT.I,2017-11-22 09:33:00,2020-08-17 15:59:00,22497.0
AHY,,,
AI,2015-09-29 09:30:00,2020-08-18 16:00:00,315310.0
AI.B,2017-05-16 10:08:00,2020-08-17 15:28:00,3041.0
AI.C,2019-03-14 10:02:00,2020-08-17 15:59:00,4519.0
AIA,2015-09-29 09:30:00,2020-08-18 16:02:00,83629.0
AIB,2015-09-29 09:30:00,2017-10-13 16:02:00,8145.0
AIC,2015-09-29 10:05:00,2020-08-18 15:45:00,9111.0
AIF,2015-09-29 09:30:00,2020-08-18 16:00:00,122712.0
AIG,2015-09-29 06:59:00,2020-08-18 16:12:00,490309.0
AIG.A,2019-03-15 09:31:00,2020-08-17 15:50:00,25673.0
AIH,2019-10-25 10:01:00,2020-08-18 15:59:00,15712.0
AIHS,2018-03-16 11:35:00,2020-08-18 16:19:00,46391.0
AIII,2015-09-29 12:33:00,2017-06-28 15:21:00,4279.0
AIKI,2015-09-29 09:30:00,2020-08-18 17:18:00,124260.0
AIM,2015-09-29 09:30:00,2020-08-18 16:18:00,201710.0
AIMC,2015-09-29 09:30:00,2020-08-18 16:00:00,272687.0
AIMCV,2018-09-19 10:25:00,2018-10-01 18:11:00,286.0
AIMT,2015-09-29 09:30:00,2020-08-18 16:00:00,345252.0
AIN,2015-09-29 09:30:00,2020-08-18 16:00:00,211176.0
AINC,2015-09-29 09:59:00,2020-08-18 15:50:00,20059.0
AINV,2015-09-29 09:30:00,2020-08-18 16:00:00,373133.0
AIO,2019-10-29 09:36:00,2020-08-18 16:00:00,20112.0
AIPC,,,
AIPT,2015-09-29 10:40:00,2019-06-13 16:00:00,112336.0
AIR,2015-09-29 09:30:00,2020-08-18 16:00:00,274415.0
AIRG,2016-08-12 10:26:00,2020-08-18 16:00:00,121276.0
AIRI,2015-09-29 10:17:00,2020-08-18 16:07:00,45573.0
AIRM,2015-09-29 09:30:00,2017-04-20 17:04:00,114399.0
AIRT,2015-09-29 09:30:00,2020-08-18 15:58:00,6414.0
AIRTP,2019-06-11 10:35:00,2020-08-18 15:12:00,1441.0
AIRTW,2019-06-12 13:31:00,2020-08-18 15:43:00,2281.0
AIRV,,,
AIS,,,
AIT,2015-09-29 09:30:00,2020-08-18 16:00:00,257672.0
AITB,2016-09-23 15:42:00,2019-07-12 16:00:00,5394.0
AIV,2015-09-29 09:30:00,2020-08-18 16:03:00,451688.0
AIV.A,2015-09-30 11:05:00,2019-05-16 10:30:00,3515.0
AIV.Z,2015-09-29 09:30:00,2016-07-28 15:43:00,883.0
AIW,2015-09-29 09:48:00,2020-08-18 15:38:00,5317.0
AIXG,2015-09-29 09:30:00,2016-12-30 16:00:00,13755.0
AIY,2015-09-29 09:30:00,2019-08-09 15:38:00,16136.0
AIZ,2015-09-29 09:30:00,2020-08-18 16:00:00,382967.0
AIZP,2018-03-15 09:34:00,2020-08-18 15:20:00,5882.0
AJB,,,
AJG,2015-09-29 07:54:00,2020-08-18 16:03:00,443771.0
AJRD,2015-09-29 09:32:00,2020-08-18 16:00:00,364201.0
AJX,2015-09-29 10:09:00,2020-08-18 16:00:00,109517.0
AJXA,2017-04-28 10:38:00,2020-08-18 16:02:00,6401.0
AKAM,2015-09-29 09:30:00,2020-08-18 16:00:00,476848.0
AKAO,2015-09-29 09:30:00,2019-04-25 19:40:00,235826.0
AKBA,2015-09-29 09:30:00,2020-08-18 16:00:00,351499.0
AKCA,2017-07-14 10:51:00,2020-08-18 16:00:00,172950.0
AKE,,,
AKER,2015-09-29 09:30:00,2020-08-18 16:06:00,185839.0
AKG,2015-09-29 09:30:00,2020-05-04 17:42:00,260416.0
AKN,,,
AKNS,,,
AKO.A,2015-09-30 10:14:00,2020-08-14 15:23:00,5205.0
AKO.B,2015-09-29 09:54:00,2020-08-18 15:00:00,36730.0
AKP,2015-09-29 09:30:00,2019-05-02 15:59:00,41451.0
AKR,2015-09-29 09:30:00,2020-08-18 16:00:00,368318.0
AKRO,2019-06-20 11:31:00,2020-08-18 16:13:00,47598.0
AKRX,2015-09-29 09:30:00,2020-05-29 19:59:00,445059.0
AKS,2015-09-29 08:00:00,2020-03-12 19:45:00,469727.0
AKTS,2015-10-09 13:42:00,2020-08-18 16:00:00,167075.0
AKTX,2015-09-29 10:58:00,2020-08-18 15:59:00,94767.0
AKUS,2020-06-26 11:31:00,2020-08-18 16:00:00,5233.0
AL,2015-09-29 09:30:00,2020-08-18 16:00:00,430174.0
AL.A,2019-03-07 09:38:00,2020-08-17 15:58:00,15920.0
ALAC,2018-10-24 10:20:00,2020-08-11 11:01:00,1671.0
ALACR,2018-11-21 08:00:00,2020-08-17 12:45:00,786.0
ALACU,2018-10-24 10:20:00,2020-08-10 09:30:00,433.0
ALACW,2018-11-21 09:31:00,2020-08-18 14:58:00,1822.0
ALB,2015-09-29 09:30:00,2020-08-18 16:00:00,467914.0
ALBO,2015-09-29 09:30:00,2020-08-18 16:00:00,126352.0
ALC,2019-04-09 09:36:00,2020-08-18 16:00:00,128020.0
ALCO,2015-09-29 09:30:00,2020-08-18 16:00:00,28910.0
ALCS,,,
ALDR,2015-09-29 09:30:00,2019-10-21 17:06:00,333869.0
ALDW,2015-09-29 09:30:00,2018-02-06 16:06:00,86426.0
ALDX,2015-09-29 09:32:00,2020-08-18 16:00:00,157783.0
ALE,2015-09-29 09:30:00,2020-08-18 16:00:00,304121.0
ALEC,2019-02-07 10:39:00,2020-08-18 16:00:00,96920.0
ALEX,2015-09-29 09:30:00,2020-08-18 16:00:00,281524.0
ALG,2015-09-29 09:33:00,2020-08-18 16:00:00,113527.0
ALGN,2015-09-29 09:30:00,2020-08-18 16:00:00,442904.0
ALGR,2018-08-13 08:07:00,2020-04-08 15:34:00,1874.0
ALGRR,2018-08-13 08:06:00,2020-04-20 18:57:00,3139.0
ALGRU,2018-07-03 10:00:00,2020-03-31 15:57:00,960.0
