,#,Symbol,Link,Description
11,11,BP,http://api.kibot.com/?action=download&link=m2m6mbmfmlmi13m8mfmrmbmlmau335mbu3mcmz13m7mtmbmtmamzmr35mtmim2m4m9mtmrmbmzm4133g35mru3mjm5mlmg131k1i35mfmimbmzmamem2mg13mbmfm6mh35mrmbm2mambm4m2mbmz133j3h3j3h3j3t3g3g35m4mfmamzm6mb133j35m2mbmbm2m6m8mjmzmimb133j35mamzmdmtmgm2mamrmzmrmrmfmlmi133g35mtmrmzma13m2m5mzmi1um6mlmjm6m2mrmb39mimzmb35mcm2mrmrmvmlmam413mzm7mz3imzmamzmdmcaka27v7f,CONTINUOUS BRITISH POUND CONTRACT
12,12,CD,http://api.kibot.com/?action=download&link=pmp4pfpaplpc13p6paprpfplpbz33kpfz3pdp813p7ptpfptpbp8pr3kptpcpmp2p9ptprpfp8p2133i3kprz3pjpkplpi131m1k3kpapcpfp8pbpgpmpi13pfpap4pe3kprpfpmpbpfp2pmpfp8133j3e3j3e3j3t3i3i3kp2papbp8p4pf133j3kpmpfpfpmp4p6pjp8pcpf133j3kpbp8phptpipmpbprp8prprpaplpc133i3kptprp8pb13pmpkp8pc1zp4plpjp4pmprpf39pcp8pf3kpdpmprprpvplpbp213p8p7p83cp8pbp8phpdabas7v7f,CONTINUOUS CANADIAN DOLLAR CONTRACT
13,13,SI,http://api.kibot.com/?action=download&link=p2p6pjp9pgpaszpdp9pepjpgpk1zz4pj1zphpnszp8pipjpipkpnpez4pipap2p7p3pipepjpnp7szzfz4pe1zpbp4pgpfszstslz4p9papjpnpkprp2pfszpjp9p6pcz4pepjp2pkpjp7p2pjpnszzbzczbzczbzizfzfz4p7p9pkpnp6pjszzbz4p2pjpjp2p6pdpbpnpapjszzbz4pkpnplpipfp2pkpepnpepep9pgpaszzfz4pipepnpkszp2p4pnpas1p6pgpbp6p2pepjz3papnpjz4php2pepepmpgpkp7szpnp8pnzapnpkpnplphaeah7v7f,CONTINUOUS SILVER CONTRACT
14,14,HG,http://api.kibot.com/?action=download&link=p2p6phpcpkpm13plpcprphpkpaz334phz3pfpj13piptphptpapjpr34ptpmp2p7p8ptprphpjp7133d34prz3pgp4pkpd131i1j34pcpmphpjpapep2pd13phpcp6pb34prphp2paphp7p2phpj133g3b3g3b3g3t3d3d34p7pcpapjp6ph133g34p2phphp2p6plpgpjpmph133g34papjp9ptpdp2paprpjprprpcpkpm133d34ptprpjpa13p2p4pjpm1zp6pkpgp6p2prph38pmpjph34pfp2prprpvpkpap713pjpipj3mpjpapjp9pfalap7v7f,CONTINUOUS COPPER CONTRACT
15,15,YM,http://api.kibot.com/?action=download&link=r2r6rlrfrbramsr8rfrkrlrbre3ss5rl3srjrtmsr7rprlrprertrks5rprar2r4r9rprkrlrtr4msshs5rk3srcr5rbrhmsmvmns5rfrarlrtrerir2rhmsrlrfr6rns5rkrlr2rerlr4r2rlrtmsscsnscsnscspshshs5r4rfrertr6rlmsscs5r2rlrlr2r6r8rcrtrarlmsscs5rertrdrprhr2rerkrtrkrkrfrbramsshs5rprkrtremsr2r5rtram3r6rbrcr6r2rkrls9rartrls5rjr2rkrkrvrbrer4msrtr7rtsartrertrdrjamag7v7f,CONTINUOUS E-MINI DOW JONES $5 CONTRACT
16,16,SF,http://api.kibot.com/?action=download&link=p2p6pbpfplpaszp7pfpepbplpn1zz4pb1zpcpkszp8pipbpipnpkpez4pipap2pgp3pipepbpkpgszz9z4pe1zpjp4plp9szstsgz4pfpapbpkpnprp2p9szpbpfp6phz4pepbp2pnpbpgp2pbpkszzjzhzjzhzjziz9z9z4pgpfpnpkp6pbszzjz4p2pbpbp2p6p7pjpkpapbszzjz4pnpkpdpip9p2pnpepkpepepfplpaszz9z4pipepkpnszp2p4pkpas1p6plpjp6p2pepbz3papkpbz4pcp2pepepmplpnpgszpkp8pkzapkpnpkpdpcaea87v7f,CONTINUOUS SWISS FRANC CONTRACT
17,17,EB,http://api.kibot.com/?action=download&link=p2pmpbpaplpd13p7paprpbplpfz334pbz3pcp813p6ptpbptpfp8pr34ptpdp2p5pgptprpbp8p5133934prz3pip4plp9131m1k34papdpbp8pfphp2p913pbpapmpe34prpbp2pfpbp5p2pbp8133i3e3i3e3i3t393934p5papfp8pmpb133i34p2pbpbp2pmp7pip8pdpb133i34pfp8pjptp9p2pfprp8prprpaplpd133934ptprp8pf13p2p4p8pd1zpmplpipmp2prpb3gpdp8pb34pcp2prprpvplpfp513p8p6p83dp8pfp8pjpca6ak7v7f,CONTINUOUS BRENT CRUDE CONTRACT
18,18,UB,http://api.kibot.com/?action=download&link=p2p6pbpfplpaszp7pfptpbplpe1zz3pb1zpcpgszp8pipbpipepgptz3pipap2p4p5piptpbpgp4szz9z3pt1zpjp3plp9szstskz3pfpapbpgpeprp2p9szpbpfp6phz3ptpbp2pepbp4p2pbpgszzjzhzjzhzjziz9z9z3p4pfpepgp6pbszzjz3p2pbpbp2p6p7pjpgpapbszzjz3pepgpdpip9p2peptpgptptpfplpaszz9z3piptpgpeszp2p3pgpas1p6plpjp6p2ptpbz5papgpbz3pcp2ptptpmplpep4szpgp8pgzapgpepgpdpcarak7v7f,CONTINUOUS ULTRA US TREASURY BOND CONTRACT
19,19,TU,http://api.kibot.com/?action=download&link=v3v6vrvfvlvapuv9vfvtvrvlvisuuzvrsuvbv5puv8vgvrvgviv5vtuzvgvav3v7v4vgvtvrv5v7puucuzvtsuvjvzvlvcpupiptuzvfvavrv5vivev3vcpuvrvfv6vhuzvtvrv3vivrv7v3vrv5puujuhujuhujugucucuzv7vfviv5v6vrpuujuzv3vrvrv3v6v9vjv5vavrpuujuzviv5vdvgvcv3vivtv5vtvtvfvlvapuucuzvgvtv5vipuv3vzv5vapsv6vlvjv6v3vtvru4vav5vruzvbv3vtvtvkvlviv7puv5v8v5uav5viv5vdvbacar7v7f,CONTINUOUS 2 YR US TREASURY NOTE CONTRACT
20,20,RTY,http://api.kibot.com/?action=download&link=ese6e7efele8ageuefere7ele91ggme71gece4agepete7ete9e4ergmete8ese3e5etere7e4e3aggzgmer1gejemelezagaca9avgmefe8e7e4e9e2esezage7efe6ehgmere7ese9e7e3ese7e4aggjghgjghgjgtgzgzgme3efe9e4e6e7aggjgmese7e7ese6eueje4e8e7aggjgme9e4edetezese9ere4ererefele8aggzgmetere4e9ageseme4e8a1e6eleje6esere7g5e8e4e7gmecesererevele9e3age4epe4g8e4e9e4edecafacam7v7c,CONTINUOUS E-MINI RUSSELL 2000 CONTRACT
21,21,DX,http://api.kibot.com/?action=download&link=mzm4mgmfmlmi13m9mfmrmgmlmau33kmgu3mbm813m2mtmgmtmam8mr3kmtmimzm7m6mtmrmgm8m7133c3kmru3mjmkmlmc131k1e3kmfmimgm8mamemzmc13mgmfm4mh3kmrmgmzmamgm7mzmgm8133j3h3j3h3j3t3c3c3km7mfmam8m4mg133j3kmzmgmgmzm4m9mjm8mimg133j3kmam8mdmtmcmzmamrm8mrmrmfmlmi133c3kmtmrm8ma13mzmkm8mi1um4mlmjm4mzmrmg36mim8mg3kmbmzmrmrmvmlmam713m8m2m83im8mam8mdmbasa37v7f,CONTINUOUS US DOLLAR INDEX CONTRACT
22,22,NG,http://api.kibot.com/?action=download&link=m2m6memcmkmd13mlmcmrmemkmfz334mez3mami13m8mtmemtmfmimr34mtmdm2m7mumtmrmemim7133j34mrz3mgm4mkmj131j1i34mcmdmemimfmhm2mj13memcm6mb34mrmem2mfmem7m2memi133g3b3g3b3g3t3j3j34m7mcmfmim6me133g34m2memem2m6mlmgmimdme133g34mfmim9mtmjm2mfmrmimrmrmcmkmd133j34mtmrmimf13m2m4mimd1zm6mkmgm6m2mrme3umdmime34mam2mrmrmvmkmfm713mim8mi3dmimfmim9maavap7v7f,CONTINUOUS NATURAL GAS CONTRACT
23,23,NE,http://api.kibot.com/?action=download&link=m2mimemcmlmd13mjmcmrmemlmfz334mez3mam713m8mtmemtmfm7mr34mtmdm2m6mumtmrmem7m6133k34mrz3mgm4mlmk131k1i34mcmdmem7mfmhm2mk13memcmimb34mrmem2mfmem6m2mem7133g3b3g3b3g3t3k3k34m6mcmfm7mime133g34m2memem2mimjmgm7mdme133g34mfm7m9mtmkm2mfmrm7mrmrmcmlmd133k34mtmrm7mf13m2m4m7md1zmimlmgmim2mrme3umdm7me34mam2mrmrmvmlmfm613m7m8m73dm7mfm7m9maava67v7f,CONTINUOUS NEW ZEALAND DOLLAR CONTRACT
24,24,M6E,http://api.kibot.com/?action=download&link=vnvdvfvsv2v1mjvrvsvavfv2vhkjjevfkjv9vumjvpv8vfv8vhvuvajev8v1vnv3v5v8vavfvuv3mjj4jevakjvzvev2v4mjm7jhmdjevsv1vfvuvhvcvnv4mjvfvsvdv7jevavfvnvhvfv3vnvfvumjjzj7jzj7jzj8j4j4jev3vsvhvuvdvfmjjzjevnvfvfvnvdvrvzvuv1vfmjjzjevhvuv6v8v4vnvhvavuvavavsv2v1mjj4jev8vavuvhmjvnvevuv1mkvdv2vzvdvnvavfj5v1vuvfjev9vnvavavgv2vhv3mjvuvpvuj1vuvhvuv6v9ag7ca67v7c,CONTINUOUS E-MICRO EUR/USD CONTRACT
25,25,NN,http://api.kibot.com/?action=download&link=484u4p4f4l4i134e4f4r4p4l4m53394p534k4a134b4t4p4t4m4a4r394t4i484c4g4t4r4p4a4c133z394r534j494l4z131z1z394f4i4p4a4m4s484z134p4f4u4h394r4p484m4p4c484p4a133j3h3j3h3j3t3z3z394c4f4m4a4u4p133j39484p4p484u4e4j4a4i4p133j394m4a4d4t4z484m4r4a4r4r4f4l4i133z394t4r4a4m1348494a4i154u4l4j4u484r4p3g4i4a4p394k484r4r4v4l4m4c134a4b4a3i4a4m4a4d4kavav7v7f,CONTINUOUS NIKKEI 225 YEN INDEX CONTRACT
26,26,NIY,http://api.kibot.com/?action=download&link=lzl6lhl2lblfekldl2lrlhlbl41kkslh1kl7lneklmltlhltl4lnlrksltlflzl3l5ltlrlhlnl3ekkukslr1klclslbluekeuejevksl2lflhlnl4l9lzlueklhl2l6l8kslrlhlzl4lhl3lzlhlnekkck8kck8kcktkukuksl3l2l4lnl6lhekkckslzlhlhlzl6ldlclnlflhekkcksl4lnljltlulzl4lrlnlrlrl2lblfekkuksltlrlnl4eklzlslnlfe1l6lblcl6lzlrlhk5lflnlhksl7lzlrlrlvlbl4l3eklnlmlnkflnl4lnljl7avaham7v7c,CONTINUOUS NIKKEI 225 YEN INDEX CONTRACT
27,27,QM,http://api.kibot.com/?action=download&link=r2r6rlrfrkraz3r9rfrirlrkrbv334rlv3rjrtz3r8rmrlrmrbrtri34rmrar2r7r1rmrirlrtr7z33h34riv3rcr4rkrhz3zkzn34rfrarlrtrbrgr2rhz3rlrfr6rn34rirlr2rbrlr7r2rlrtz33c3n3c3n3c3m3h3h34r7rfrbrtr6rlz33c34r2rlrlr2r6r9rcrtrarlz33c34rbrtrdrmrhr2rbrirtririrfrkraz33h34rmrirtrbz3r2r4rtrazvr6rkrcr6r2rirl31rartrl34rjr2ririrsrkrbr7z3rtr8rt3artrbrtrdrja5ag7v7f,CONTINUOUS E-MINI CRUDE OIL CONTRACT
28,28,BD,http://api.kibot.com/?action=download&link=p2p6pbpfplpg13p7pfprpbplpaz33kpbz3pcpi13p4ptpbptpapipr3kptpgp2p5p8ptprpbpip513393kprz3pjpkplp9131m1k3kpfpgpbpipapep2p913pbpfp6ph3kprpbp2papbp5p2pbpi133j3h3j3h3j3t39393kp5pfpapip6pb133j3kp2pbpbp2p6p7pjpipgpb133j3kpapipdptp9p2paprpiprprpfplpg13393kptprpipa13p2pkpipg1zp6plpjp6p2prpb38pgpipb3kpcp2prprpvplpap513pip4pi3gpipapipdpcakas7v7f,CONTINUOUS EURO BUND CONTRACT
29,29,PX,http://api.kibot.com/?action=download&link=isi4igifilik13i9ifirigiliau332igu3ibi813i6itigitiai8ir32itikisi7izitirigi8i7133c32iru3iji2ilic131k1e32ifikigi8iaieisic13igifi4ih32irigisiaigi7isigi8133j3h3j3h3j3t3c3c32i7ifiai8i4ig133j32isigigisi4i9iji8ikig133j32iai8iditicisiairi8iririfilik133c32itiri8ia13isi2i8ik1ui4iliji4isirig3ziki8ig32ibisiririviliai713i8i6i83ki8iai8idiba2a37v7f,CONTINUOUS MEXICAN PESO CONTRACT
30,30,XG,http://api.kibot.com/?action=download&link=p2p6phpcpkpa13plpcprphpkpes33zphs3pfpj13p4ptphptpepjpr3zptpap2p7p8ptprphpjp7133d3zprs3pgpzpkpd131i1j3zpcpaphpjpepip2pd13phpcp6pb3zprphp2pephp7p2phpj133g3b3g3b3g3t3d3d3zp7pcpepjp6ph133g3zp2phphp2p6plpgpjpaph133g3zpepjp9ptpdp2peprpjprprpcpkpa133d3zptprpjpe13p2pzpjpa1sp6pkpgp6p2prph38papjph3zpfp2prprpvpkpep713pjp4pj3apjpepjp9pfa3ap7v7f,CONTINUOUS DAX CONTRACT
31,31,LF,http://api.kibot.com/?action=download&link=p2p6pbpfplps13p7pfprpbplpaz334pbz3pcpk13p8ptpbptpapkpr34ptpsp2pgpiptprpbpkpg133934prz3pjp4plp9131i1g34pfpspbpkpapep2p913pbpfp6ph34prpbp2papbpgp2pbpk133j3h3j3h3j3t393934pgpfpapkp6pb133j34p2pbpbp2p6p7pjpkpspb133j34papkpdptp9p2paprpkprprpfplps133934ptprpkpa13p2p4pkps1zp6plpjp6p2prpb3ipspkpb34pcp2prprpvplpapg13pkp8pk3spkpapkpdpca9a87v7f,CONTINUOUS FTSE 100 CONTRACT
32,32,HO,http://api.kibot.com/?action=download&link=r2r6rlrfrbrm13r9rfrkrlrbraz334rlz3rjrv13rirprlrprarvrk34rprmr2r7r8rprkrlrvr7133c34rkz3rnr4rbrc131i1n34rfrmrlrvrarer2rc13rlrfr6rh34rkrlr2rarlr7r2rlrv133n3h3n3h3n3p3c3c34r7rfrarvr6rl133n34r2rlrlr2r6r9rnrvrmrl133n34rarvrdrprcr2rarkrvrkrkrfrbrm133c34rprkrvra13r2r4rvrm1zr6rbrnr6r2rkrl38rmrvrl34rjr2rkrkrurbrar713rvrirv3mrvrarvrdrjalan7v7f,CONTINUOUS NEW YORK HARBOR ULSD CONTRACT
33,33,PL,http://api.kibot.com/?action=download&link=m2m6memfmlmg13m9mfmrmemlmcp334mep3mams13m8mtmemtmcmsmr34mtmgm2m7mimtmrmemsm7133z34mrp3mjm4mlmz131g1i34mfmgmemsmcmbm2mz13memfm6mh34mrmem2mcmem7m2mems133j3h3j3h3j3t3z3z34m7mfmcmsm6me133j34m2memem2m6m9mjmsmgme133j34mcmsmdmtmzm2mcmrmsmrmrmfmlmg133z34mtmrmsmc13m2m4msmg1pm6mlmjm6m2mrme3imgmsme34mam2mrmrmvmlmcm713msm8ms3gmsmcmsmdmaa2a97v7f,CONTINUOUS PLATINUM CONTRACT
34,34,MT,http://api.kibot.com/?action=download&link=nzn6njnfnenh13n9nfnmnjnenlu332nju3nbn413n8nsnjnsnln4nm32nsnhnzn7ntnsnmnjn4n7133c32nmu3nan2nenc131k1l32nfnhnjn4nlngnznc13njnfn6nk32nmnjnznlnjn7nznjn4133a3k3a3k3a3s3c3c32n7nfnln4n6nj133a32nznjnjnzn6n9nan4nhnj133a32nln4ndnsncnznlnmn4nmnmnfnenh133c32nsnmn4nl13nzn2n4nh1un6nenan6nznmnj3tnhn4nj32nbnznmnmnvnenln713n4n8n43hn4nln4ndnbagac7v7f,CONTINUOUS CAC 40 CONTRACT
35,35,ME,http://api.kibot.com/?action=download&link=p2pkphpcpepb13pjpcpmphpepgz334phz3pfp713p8psphpspgp7pm34pspbp2p6ptpspmphp7p6133d34pmz3pap4pepd131n1k34pcpbphp7pgplp2pd13phpcpkpn34pmphp2pgphp6p2php7133a3n3a3n3a3s3d3d34p6pcpgp7pkph133a34p2phphp2pkpjpap7pbph133a34pgp7p9pspdp2pgpmp7pmpmpcpepb133d34pspmp7pg13p2p4p7pb1zpkpepapkp2pmph3tpbp7ph34pfp2pmpmpvpepgp613p7p8p73bp7pgp7p9pfaga67v7f,CONTINUOUS E-MINI EURO FX CONTRACT
36,36,BL,http://api.kibot.com/?action=download&link=m2m6mbmfmlmg13m8mfmrmbmlmaz335mbz3mcms13m7mtmbmtmamsmr35mtmgm2m4mimtmrmbmsm4133935mrz3mjm5mlm9131k1i35mfmgmbmsmamem2m913mbmfm6mh35mrmbm2mambm4m2mbms133j3h3j3h3j3t393935m4mfmamsm6mb133j35m2mbmbm2m6m8mjmsmgmb133j35mamsmdmtm9m2mamrmsmrmrmfmlmg133935mtmrmsma13m2m5msmg1zm6mlmjm6m2mrmb3imgmsmb35mcm2mrmrmvmlmam413msm7ms3gmsmamsmdmcaka97v7f,CONTINUOUS EURO BOBL CONTRACT
37,37,EX,http://api.kibot.com/?action=download&link=mzmkmgmamlmd13m9mamrmgmlmfu332mgu3mbm613m4mtmgmtmfm6mr32mtmdmzm7m8mtmrmgm6m7133c32mru3mim2mlmc131k1h32mamdmgm6mfmhmzmc13mgmamkme32mrmgmzmfmgm7mzmgm6133i3e3i3e3i3t3c3c32m7mamfm6mkmg133i32mzmgmgmzmkm9mim6mdmg133i32mfm6mjmtmcmzmfmrm6mrmrmamlmd133c32mtmrm6mf13mzm2m6md1umkmlmimkmzmrmg38mdm6mg32mbmzmrmrmvmlmfm713m6m4m63dm6mfm6mjmba6a37v7f,CONTINUOUS EURO STOXX 50 CONTRACT
38,38,RB,http://api.kibot.com/?action=download&link=mzm6memfmlma13m7mfmrmemlmcu334meu3mkmg13m8mtmemtmcmgmr34mtmamzm5m2mtmrmemgm5133934mru3mjm4mlm9131k1i34mfmamemgmcmbmzm913memfm6mh34mrmemzmcmem5mzmemg133j3h3j3h3j3t393934m5mfmcmgm6me133j34mzmememzm6m7mjmgmame133j34mcmgmdmtm9mzmcmrmgmrmrmfmlma133934mtmrmgmc13mzm4mgma1um6mlmjm6mzmrme32mamgme34mkmzmrmrmvmlmcm513mgm8mg3amgmcmgmdmkafak7v7f,CONTINUOUS RBOB GASOLINE CONTRACT
39,39,NKD,http://api.kibot.com/?action=download&link=lzl6lhljlilf13lsljlplhlil4k33blhk3l9lr13lmltlhltl4lrlp3bltlflzl5l7ltlplhlrl5133u3blpk3l8lblilu131u1j1b3bljlflhlrl4lclzlu13lhljl6l23blplhlzl4lhl5lzlhlr1338323832383t3u3u3bl5ljl4lrl6lh13383blzlhlhlzl6lsl8lrlflh13383bl4lrldltlulzl4lplrlplpljlilf133u3bltlplrl413lzlblrlf1kl6lil8l6lzlplh37lflrlh3bl9lzlplplvlil4l513lrlmlr3flrl4lrldl9avajas7v7c,CONTINUOUS NIKKEI 225 DOLLAR INDEX CONTRACT
40,40,TW,http://api.kibot.com/?action=download&link=v3v5vgvfvlvapuv9vfvrvgvlvisuuzvgsuvbv7puv8vtvgvtviv7vruzvtvav3v6v4vtvrvgv7v6puucuzvrsuvjvzvlvcpupiptuzvfvavgv7vivev3vcpuvgvfv5vhuzvrvgv3vivgv6v3vgv7puujuhujuhujutucucuzv6vfviv7v5vgpuujuzv3vgvgv3v5v9vjv7vavgpuujuzviv7vdvtvcv3vivrv7vrvrvfvlvapuucuzvtvrv7vipuv3vzv7vapsv5vlvjv5v3vrvgu4vav7vguzvbv3vrvrvkvlviv6puv7v8v7uav7viv7vdvbacau7v7f,CONTINUOUS MSCI TAIWAN INDEX CONTRACT
41,41,EZ,http://api.kibot.com/?action=download&link=lrlmlgl3lal8ntl9l3lelglaljpttulgptlblvntlzlhlglhljlvletulhl8lrl5l4lhlelglvl5nttctuleptl7lulalcntnmlktul3l8lglvljlflrlcntlgl3lml6tulelglrljlgl5lrlglvntt7t6t7t6t7thtctctul5l3ljlvlmlgntt7tulrlglglrlml9l7lvl8lgntt7tuljlvl2lhlclrljlelvlelel3lal8nttctulhlelvljntlrlulvl8nplmlal7lmlrlelgt4l8lvlgtulblrlelelilaljl5ntlvlzlvt8lvljlvl2lba61z7v7f,CONTINUOUS EURO SCHATZ CONTRACT
42,42,CRD,http://api.kibot.com/?action=download&link=bdbub9bablbz13bpbabrb9blb2e33ib9e3bcb413bsbtb9btb2b4br3ibtbzbdb5b7btbrb9b4b513363ibre3bjbiblb6131d1c1i3ibabzb9b4b2b8bdb613b9babubg3ibrb9bdb2b9b5bdb9b4133j3g3j3g3j3t36363ib5bab2b4bub9133j3ibdb9b9bdbubpbjb4bzb9133j3ib2b4bhbtb6bdb2brb4brbrbablbz13363ibtbrb4b213bdbib4bz1ebublbjbubdbrb937bzb4b93ibcbdbrbrbvblb2b513b4bsb43zb4b2b4bhbcabafas7v7c,CONTINUOUS WTI CRUDE CONTRACT
43,43,XT,http://api.kibot.com/?action=download&link=mzm6memfmlma13m9mfmrmemlmip33umep3mbm413m2mtmemtmim4mr3umtmamzm7m8mtmrmem4m7133c3umrp3mjmumlmc131g1i3umfmamem4mimgmzmc13memfm6mh3umrmemzmimem7mzmem4133j3h3j3h3j3t3c3c3um7mfmim4m6me133j3umzmememzm6m9mjm4mame133j3umim4mdmtmcmzmimrm4mrmrmfmlma133c3umtmrm4mi13mzmum4ma1pm6mlmjm6mzmrme38mam4me3umbmzmrmrmvmlmim713m4m2m43am4mim4mdmba3ac7v7f,CONTINUOUS 10 YR AUSTRALIAN T BOND CONTRACT
