propertycode,Minimum,Maximum
48829,81.31,146.77
49361,100.76,150.58
49364,80.3,282.86
49397,178.47,399.44
49421,134.59,313.46
49441,156.88,277.82
49448,70.23,115.67
49531,72.33,139.64
49541,185.78,835.45
49553,50.64,141.65
49565,281.3,2190.1
49586,44.45,121.5
49626,115.93,199.92
49668,68.64,100.32
49676,180.93,332.88
49677,151.1,379.08
49678,168.79,332.88
49683,144.5,391.49
49684,65.78,164.72
50409,125.58,211.98
50416,106.49,286.32
50418,160.74,241.11
50419,122.1,169.89
50434,77.24,304.35
50435,117.54,259.2
50439,135.63,185.85
50442,70.33,160.74
50457,79.65,255.85
50460,139.64,288.33
50463,76.35,178.83
50498,82.38,296.36
50506,67.31,199.92
50539,298.38,626.89
50565,86.12,204.5
50582,95.69,211.72
50586,64.97,160.08
50606,82.62,205.95
50607,159.27,306.45
50657,54.83,128.82
50667,76.03,136.21
50674,200.62,469.88
50679,49.42,1544.88
50703,101.26,192.85
50710,52.48,101.84
50749,112.53,162.9
50752,124.7,335.08
50753,108.59,222.03
50766,71.98,174.38
50828,101.8,207.96
50861,85.39,211.59
50890,107.45,111.32
50967,162.61,315.72
50974,54.9,204.85
50978,101.04,215.86
50981,83.66,319.47
50990,62.09,329.45
51021,128.33,321.25
51035,72.45,252.37
51041,69.91,190.07
51044,51.74,156.27
51072,36.21,124.59
51074,78.14,140.44
51084,68.67,169.9
51086,99.68,303.05
51106,65.57,131.99
51112,88.7,161.56
51116,70.22,157.15
51122,69.27,119.8
51137,70.33,120.55
51139,56.45,134.63
51147,52.95,95.8
51150,106.81,162.35
51151,35.0,60.72
51164,36.96,147.83
51170,41.06,58.41
51172,95.03,309.81
51192,160.84,310.13
51223,111.0,203.49
51235,75.94,76.91
51242,72.86,115.1
51251,490.37,776.1
51267,88.31,144.59
51272,59.87,209.61
51276,62.3,170.01
51279,98.8,175.85
51300,43.24,66.31
51541,60.28,164.76
51545,37.02,72.11
51565,36.96,95.03
51571,125.66,210.12
51576,107.39,184.78
51577,38.01,244.97
51632,108.5,134.62
51639,56.14,86.38
51657,46.78,146.5
51670,98.0,12713.2
51675,51.74,109.82
51678,88.7,152.05
51681,72.86,109.82
51685,58.07,116.16
59258,57.21,99.46
59547,31.88,145.41
59704,53.47,61.69
59709,31.04,70.66
59917,69.4,159.06
59932,145.02,298.47
59935,89.86,170.52
59941,102.24,205.53
59961,56.98,118.77
59965,112.58,250.97
59969,68.78,94.64
60022,60.53,120.38
60025,538.81,1345.7
60028,65.57,157.34
60029,126.67,262.92
60034,66.79,244.18
60035,92.48,92.48
60043,135.16,211.19
60048,83.63,212.56
60049,69.31,227.03
60055,68.64,177.33
60059,91.38,246.03
60068,32.1,99.3
60074,84.58,146.77
60075,57.02,125.54
60079,100.32,142.55
60086,95.03,174.64
60092,84.48,197.45
60096,80.78,167.09
60102,1054.87,1055.92
60103,42.94,128.68
60115,52.93,79.4
60116,106.44,195.35
60119,100.32,147.83
60120,91.02,184.67
60130,168.11,373.8
60132,58.34,126.71
60134,136.21,237.56
60151,60.19,137.27
60155,48.57,239.69
60159,83.41,199.57
60167,36.96,65.47
60180,52.27,147.83
60185,46.46,100.32
60186,63.36,129.88
60190,43.3,185.31
60191,52.27,96.08
60192,103.9,174.23
60194,88.7,210.13
60199,114.04,230.2
60203,205.9,332.62
60251,45.51,69.32
60256,35.77,89.5
60485,95.81,127.24
60489,50.18,410.61
60491,81.11,214.94
60496,86.58,145.67
60529,84.23,181.84
60547,65.3,145.67
60583,167.78,314.06
60595,90.42,780.66
60639,80.37,148.69
60644,221.02,374.14
60692,54.25,105.48
60707,98.45,282.3
60721,70.02,151.7
60725,146.98,611.82
60775,24.51,54.36
60799,33.89,212.48
60801,91.19,319.32
60819,80.37,117.45
60820,60.29,130.52
60830,94.49,159.39
60831,57.34,133.72
60832,81.38,206.66
60850,47.02,170.51
60888,58.52,104.49
60915,51.66,81.78
60941,62.16,182.34
60964,81.69,590.09
60972,59.27,103.28
60992,138.65,373.52
60995,72.57,130.41
60997,143.66,210.8
61001,98.55,341.57
61033,174.8,289.34
61072,74.34,198.57
61127,79.37,233.45
61162,72.17,202.24
61172,53.53,103.48
61178,72.34,220.16
61186,44.14,156.49
61198,76.86,533.57
61310,31.7,61.39
62322,47.57,110.03
62325,73.58,155.71
62328,29.21,67.65
62333,77.11,339.81
62374,93.44,271.25
62397,135.63,351.62
62401,69.32,122.23
62405,55.43,198.43
62476,67.0,203.11
62480,66.01,126.79
62522,42.0,119.55
62543,73.33,134.43
62544,58.92,129.59
62584,98.45,218.47
62614,37.78,168.78
62635,39.18,96.44
62636,65.38,1046.25
62637,171.79,525.68
62646,227.18,246.28
62668,64.29,199.92
62707,76.35,230.06
62757,36.91,308.61
62760,31.25,156.38
62780,75.06,218.93
62788,34.04,88.88
62850,85.16,153.25
62892,34.91,343.2
62896,46.44,221.02
62904,71.79,274.38
63365,80.46,332.4
63366,46.81,183.28
63392,75.85,175.81
63393,55.25,212.98
63490,144.91,210.86
63534,56.36,90.41
63550,226.04,539.49
63559,88.91,213.99
63567,65.3,99.46
63576,23.8,61.87
63600,35.99,82.76
63659,49.93,966.35
63688,185.83,362.67
63693,68.92,146.68
63711,55.51,113.02
63749,71.98,140.92
63759,22.78,98.67
63823,65.53,135.53
63851,94.94,286.02
63853,50.23,191.89
63858,52.66,4876.28
63859,73.33,683.15
63863,49.69,130.6
63940,189.73,803.44
63947,105.51,105.51
63986,64.94,141.49
63997,106.68,221.64
63999,51.8,166.04
64009,273.48,1130.89
64019,95.03,235.47
64067,65.07,134.06
64080,100.46,210.97
64082,102.47,165.76
64128,65.3,91.42
64285,337.9,1029.52
64293,181.51,372.74
64345,44.35,73.81
65488,110.34,251.79
65566,100.31,205.9
65570,80.25,161.63
65571,79.19,126.71
65572,43.3,85.53
65575,86.58,152.05
65580,71.81,172.26
65582,84.47,170.08
65587,105.59,121.43
65588,66.52,216.76
65593,36.96,134.25
65597,60.82,139.38
65601,65.06,206.79
65612,24.23,120.05
65614,130.14,391.75
65619,67.57,146.77
65650,85.39,145.67
65708,48.49,119.2
65710,81.25,413.97
65720,68.64,184.78
65721,87.43,110.87
65724,41.87,137.27
65748,86.18,187.95
65769,114.04,199.57
65778,73.91,203.79
65826,99.62,242.84
65837,44.79,175.54
65845,38.01,147.83
65916,125.83,434.38
65930,89.1,378.89
65976,101.47,389.76
66032,94.43,154.69
66042,60.28,85.39
66048,60.82,123.16
66056,60.13,904.17
66069,57.94,134.72
66385,134.72,262.61
66386,103.28,411.05
66437,82.79,179.61
66438,73.87,172.39
66440,71.81,89.75
66441,125.65,253.05
66445,67.56,190.07
66447,42.24,95.03
66471,67.57,147.83
66499,48.28,109.5
66551,72.33,233.27
66631,71.08,215.18
66645,64.14,86.75
66661,129.59,197.41
66667,62.29,218.93
66694,98.45,343.58
66759,109.54,249.74
66911,138.79,438.02
66928,75.35,105.48
66962,49.23,96.44
66970,168.78,479.21
66986,54.2,125.27
67062,57.71,123.11
67142,70.33,261.46
67207,39.04,266.09
67310,104.25,182.44
67317,54.95,87.4
67330,51.21,99.46
67343,73.23,235.88
67351,35.66,78.5
67380,58.43,95.14
67414,69.62,180.84
67436,158.23,583.69
67445,70.02,130.6
67473,83.73,86.07
67487,48.23,88.41
67501,135.63,156.72
67543,56.99,129.59
67575,45.62,131.8
67576,64.37,131.09
67591,47.84,86.53
67648,110.16,311.94
67675,116.64,975.26
67676,58.77,105.48
67687,26.92,50.23
67691,70.33,272.76
67730,69.32,158.74
67736,57.52,97.45
67840,217.0,360.31
67925,99.46,159.74
67931,39.19,356.28
67970,59.27,151.6
67988,30.46,85.66
68002,37.98,158.71
68006,131.87,1102.1
68007,47.03,105.49
68010,54.52,146.98
68016,42.23,105.59
68027,93.98,172.12
68048,125.66,248.14
68058,60.82,104.54
68063,50.26,118.26
68066,62.3,93.98
68070,70.32,158.39
68072,50.15,109.4
68085,49.37,142.55
68101,84.58,213.81
68118,104.54,153.11
68128,68.64,100.32
68149,42.76,285.1
68156,23.76,118.79
68158,94.23,189.01
68160,39.5,115.02
68163,131.93,273.48
68168,128.71,165.2
68170,91.23,161.75
68171,108.76,193.23
68173,62.3,246.47
68175,39.06,97.15
68177,71.09,123.54
68181,112.98,154.16
68187,43.43,68.74
68188,89.75,147.83
68294,46.46,186.64
68295,86.58,274.54
68556,55.45,86.08
68583,50.23,104.49
68606,70.32,176.82
68641,41.6,106.49
68768,119.38,263.21
68777,56.9,148.91
68792,76.83,112.09
68885,48.23,63.29
68899,126.8,201.65
68970,77.47,149.69
68996,97.21,337.89
69809,62.38,142.66
69817,81.31,469.89
69841,61.97,128.07
69849,80.47,132.61
69862,67.24,286.39
69915,48.5,140.65
69964,184.36,462.49
69974,89.75,198.52
69987,114.02,160.08
70123,59.28,126.59
70133,87.8,350.61
70157,88.41,149.51
70202,76.73,121.09
70993,118.78,202.45
71026,166.39,191.21
71061,141.18,214.2
71115,144.79,390.8
71124,79.37,170.79
71135,41.97,105.59
71147,61.75,148.88
71149,97.88,277.71
71162,51.74,133.99
71183,136.21,200.37
71184,101.39,209.07
71244,61.28,132.61
71252,50.23,90.42
71254,70.21,248.15
71282,46.72,265.83
71371,64.34,312.76
71378,74.14,172.02
71380,78.82,250.22
71516,41.43,940.74
71560,41.99,228.1
71572,57.02,180.56
71625,61.33,106.65
72021,73.43,227.31
72026,69.71,171.72
72065,53.24,69.32
72138,89.51,250.15
72152,102.62,198.33
72911,39.84,102.81
72923,36.19,72.73
72933,115.09,193.23
72989,42.96,163.93
72996,59.96,105.3
72998,112.43,153.75
73423,40.95,426.6
73933,88.62,245.92
73946,262.21,386.78
73984,84.81,161.37
73991,157.73,384.54
74111,73.84,96.05
74115,53.85,308.81
74149,89.97,161.03
74170,60.74,135.54
74322,86.65,145.08
74339,57.44,125.61
74559,85.64,274.37
74618,74.44,95.44
74626,66.0,111.87
74645,63.29,169.79
74656,40.69,95.44
74665,50.23,170.79
74676,55.55,115.54
74695,84.68,200.8
74709,79.08,194.56
74774,43.98,96.08
74775,106.44,368.51
74777,273.48,410.76
74785,36.96,84.48
74793,73.91,143.09
74794,35.77,173.94
74799,90.81,280.65
74802,62.3,121.97
74804,75.08,170.11
74809,101.77,261.07
74814,63.92,127.76
74815,72.86,189.01
74816,46.57,142.92
74826,74.97,460.2
74833,34.85,73.91
74842,232.3,431.87
74850,62.3,273.91
74851,63.67,122.49
74860,77.08,142.55
74863,84.48,95.03
74865,66.52,84.48
74869,79.88,125.66
74870,69.69,125.66
74925,35.78,109.47
75029,76.34,157.34
75031,54.9,246.46
75032,123.54,204.73
75358,81.48,119.87
76426,275.01,320.02
76446,80.34,120.84
76555,65.1,217.45
76610,109.82,326.71
76666,59.28,99.46
76673,111.48,199.92
76696,40.13,228.51
76966,116.64,305.36
76969,106.93,215.49
77025,77.36,142.74
77043,60.28,221.02
77055,118.54,275.27
77081,110.88,260.19
77087,160.61,312.66
77091,65.57,431.87
77092,82.36,147.83
77095,52.27,200.62
77097,47.52,133.58
77100,99.26,239.72
77101,79.19,117.11
77106,71.8,110.76
77107,67.57,153.1
77259,65.63,79.94
77260,22.72,101.22
77295,34.57,55.19
77296,35.41,88.53
77303,68.43,416.79
77339,99.88,227.58
77404,139.39,242.0
77405,145.2,271.04
77425,70.38,285.41
77431,42.7,96.2
77447,62.28,136.63
77614,98.67,208.63
77779,84.39,127.39
77781,52.74,120.56
77783,77.36,119.35
77845,46.46,77.03
77846,51.74,77.08
77847,29.57,65.47
77854,62.83,263.87
77858,60.94,215.86
77867,101.37,131.99
77875,91.87,123.44
77879,41.39,73.91
77886,35.48,72.76
77888,78.14,95.98
77890,125.65,161.45
77893,43.29,70.69
77894,52.8,82.36
77896,32.52,65.36
77898,29.57,55.86
77932,33.26,86.59
77940,38.01,66.42
77942,36.22,81.2
77951,38.55,87.81
78015,92.12,154.71
78065,182.5,263.72
78092,305.91,330.52
78096,144.59,201.4
78175,86.59,130.93
78197,178.27,298.53
78209,88.01,240.1
78214,79.37,109.5
78232,163.78,315.26
78239,67.24,170.42
78248,73.54,236.51
78323,84.39,158.73
78332,70.32,110.51
78338,88.41,98.35
78346,99.46,99.46
78368,132.61,236.09
78373,68.32,114.53
78380,55.25,79.27
78392,51.23,155.72
78397,70.33,84.29
78452,83.69,171.29
78528,91.96,198.44
78530,98.74,195.54
78541,113.6,149.76
78551,127.03,183.84
78556,113.6,202.43
78648,66.92,222.05
78690,157.23,339.92
78697,183.92,367.84
78714,185.9,359.87
78728,85.92,399.85
78767,69.35,288.15
78803,79.43,180.74
78922,57.27,96.44
78984,75.17,226.04
78993,164.21,356.32
79038,64.03,99.15
79039,46.99,113.61
79061,69.35,257.17
79073,57.34,138.66
79132,126.41,465.71
79136,88.86,290.93
79139,387.26,1002.54
79144,264.77,387.23
79145,88.86,388.63
79148,134.67,1522.37
81376,115.21,995.7
81614,212.96,546.18
81630,99.46,287.32
81640,189.24,222.64
81650,135.51,389.14
81662,83.55,221.02
81680,62.28,9149.18
81682,135.37,224.33
81717,77.99,172.09
81740,58.86,84.37
81807,45.29,175.71
81811,73.18,167.89
81812,55.96,195.89
81845,55.13,115.07
81940,102.1,346.99
81960,75.35,1003.62
82419,56.26,100.46
82434,52.0,103.3
82436,58.87,116.59
82446,58.56,188.22
82466,46.47,81.52
82480,82.22,237.69
82559,56.51,88.97
82565,67.36,129.59
82613,55.87,142.6
82637,62.11,165.25
82640,34.73,64.14
82689,65.07,92.95
82699,58.11,184.85
82730,80.37,125.58
82785,68.32,157.93
82798,164.96,250.15
82809,80.09,160.19
82810,113.45,523.35
82825,71.33,140.65
82829,38.57,56.72
82843,56.67,217.17
82887,52.42,88.41
82904,51.77,125.13
82910,87.39,267.38
82911,107.49,270.25
82933,50.3,156.57
82947,122.79,290.09
82953,135.63,215.99
82970,82.38,301.39
82972,45.89,138.61
83006,163.75,308.42
84074,83.63,220.69
84179,159.66,268.2
84182,142.55,184.78
84207,165.52,379.08
84263,57.97,116.15
84375,58.48,80.78
84378,45.62,74.93
84575,70.86,432.66
84578,41.71,59.41
84766,62.53,143.61
84774,71.27,110.87
84809,53.44,169.39
84964,40.18,120.55
84967,197.56,2304.87
84968,126.24,312.55
84985,415.8,510.41
84990,25.08,101.37
84999,59.13,135.23
85000,68.64,151.0
85002,48.68,53.55
85006,49.94,94.29
85022,53.34,165.76
85093,50.23,132.61
85119,41.84,131.61
85162,60.28,120.55
85175,41.41,58.67
85185,75.35,190.83
85239,55.98,145.67
85241,113.02,221.27
85273,75.95,192.89
85295,65.1,124.78
85486,52.09,127.58
85492,54.19,156.02
85505,119.38,208.77
85588,49.73,148.69
85589,58.81,170.01
85655,69.14,166.07
85661,64.29,272.25
85666,45.21,90.42
85667,66.31,123.37
85670,67.46,103.88
85675,60.28,221.02
85696,45.21,82.38
85699,28.74,54.39
85724,36.17,168.78
85866,153.28,1075.08
85898,146.3,452.41
85914,85.89,147.68
85915,50.08,117.54
85959,92.43,178.83
85981,129.38,193.26
85998,147.96,653.53
86149,88.99,111.51
86224,45.21,110.31
86282,65.64,229.05
86389,147.08,375.73
86402,78.52,156.21
86424,45.4,199.92
86499,68.32,163.95
86577,51.23,246.14
86635,190.88,244.93
87066,140.65,216.84
87171,96.5,171.97
87397,66.64,99.13
87400,50.23,164.76
87405,136.95,500.55
87415,313.14,323.34
87450,62.38,107.5
87457,49.55,102.48
87463,61.29,89.21
87468,68.31,132.42
87472,89.51,194.89
87477,78.77,160.24
87486,107.59,292.82
87487,111.22,358.66
87510,94.94,411.16
87515,87.58,204.34
87516,130.57,296.5
87521,100.87,164.11
87732,42.01,111.01
87735,72.33,100.46
87801,62.66,353.02
87868,52.09,124.17
87869,118.86,411.73
87938,74.34,285.31
88162,72.47,196.23
88169,44.2,491.01
88200,56.6,91.48
88354,76.35,136.0
88498,54.87,70.62
88611,61.35,206.95
88619,138.63,222.22
88671,30.14,55.25
88701,54.25,90.42
88707,69.45,100.46
88913,44.38,76.91
88920,61.33,160.65
88980,38.94,107.11
88999,40.88,60.56
89031,78.0,158.95
89125,70.65,125.14
89137,59.87,143.61
89176,67.47,246.03
89188,95.03,184.78
89274,59.13,318.67
89284,105.7,1084.77
89323,88.98,174.6
89756,257.17,335.66
89806,45.04,150.71
89870,33.6,110.91
90148,56.06,72.66
90150,152.05,316.78
90165,93.53,129.6
90281,50.23,100.46
90366,78.56,170.99
90367,76.03,121.43
90465,54.17,157.22
90477,56.07,153.64
90500,64.41,168.94
90545,66.26,293.76
90573,57.02,129.09
90575,156.13,473.05
90578,108.76,260.84
90706,70.33,198.92
90717,56.26,1010.31
90861,99.58,183.53
90896,263.41,438.02
90911,70.28,109.34
90912,165.76,326.5
90929,90.88,148.72
91084,75.02,119.1
91177,83.26,166.06
91211,60.57,140.15
91238,90.44,258.49
91244,94.08,244.97
91247,33.26,108.34
91297,51.92,109.47
91647,140.36,217.8
91719,89.41,135.63
96403,85.39,222.02
96481,80.1,137.73
96653,49.23,75.35
96671,114.38,181.24
96730,48.23,96.44
96760,40.18,83.43
96792,55.25,117.54
96822,59.28,117.54
96834,62.86,137.98
96852,224.79,292.24
96875,50.23,83.38
96886,75.35,92.43
96945,55.51,87.8
96946,157.76,314.7
97042,66.52,135.31
97050,69.38,9065.77
97075,82.69,284.47
97083,85.97,200.67
97139,15.49,170.42
97144,51.36,71.79
97148,170.79,311.44
97150,99.66,616.84
97151,205.95,447.06
97427,121.01,293.35
97432,67.58,141.5
97465,54.17,127.31
98516,90.42,200.93
98519,116.53,239.1
98579,87.52,209.97
98580,60.28,164.66
98598,161.75,308.42
98703,120.55,271.25
98743,101.72,184.85
98839,73.77,73.77
99266,239.61,328.66
99277,123.25,721.19
99279,58.69,1404.79
99368,123.34,214.11
99370,68.01,189.45
99377,128.07,235.47
99469,79.57,142.21
99498,73.4,972.91
99527,45.7,121.21
99552,103.07,483.71
99597,68.0,139.65
99599,67.13,149.75
99604,47.82,76.35
99626,55.77,91.92
99629,69.7,130.53
99635,133.16,316.4
99640,39.03,59.97
